Lat,Long,h_tx_asl,h_rx_asl,delta_h_tx_rx,d_2d,d_3d,freq,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,building_depth_2d,building_depth_3d,n_building,vegetation_depth_2d,vegetation_depth_3d,n_vegetation,avg_diffracted_comp,std_building,std_vegetation,std_ground,pl
-22.97945256,-43.23020832,53,18.57719994,34.42280006,173.2936382,176.67941,3500,10.879,10.388,14.442,1,1.0196,1,0,0,0,30.192,10.697,14.076,0.94301,110.76493
-22.97943594,-43.23017238,53,18.73848343,34.26151657,177.0684222,180.35265,3500,10.351,10.713,14.356,0,0,0,0,0,0,35.869,10.742,14.255,0.9983,108.35693
-22.97940935,-43.23011488,53,18.69573975,34.30426025,183.1387802,186.3239,3500,9.4891,11.458,14.229,0,0,0,0,0,0,35.848,10.486,14.317,1.0739,102.76093
-22.97938608,-43.23006456,53,17.88043594,35.11956406,188.4788455,191.72287,3500,9.2566,11.479,14.122,0,0,0,0,0,0,35.44,10.32,14.365,1.127,102.34893
-22.97935284,-43.22999268,53,16.01178932,36.98821068,196.1491681,199.60617,3500,9.3376,11.414,13.939,2,2.0353,1,0,0,0,28.671,9.9655,14.202,1.1849,102.28593
-22.97950209,-43.22993449,53,15.722826,37.277174,201.1332449,204.55849,3500,20.579,7.6658,14.845,57,57.972,2,16,16.2728,2,39.431,17.768,12.642,0.9105,101.68793
-22.97947765,-43.22987485,53,15.42682934,37.57317066,207.2980645,210.67566,3500,20.018,6.262,14.61,45,45.7353,1,1,1.01634,1,39.357,15.885,11.973,1.0237,100.90092
-22.9794532,-43.2298152,53,15.40625,37.59375,213.4941404,216.77878,3500,15.636,7.1215,14.395,16,16.2473,3,0,0,0,37.802,12.721,12.566,1.1257,103.38193
-22.97943079,-43.22976052,53,15.40701199,37.59298801,219.1990711,222.39934,3500,10.915,9.0136,14.212,0,0,0,0,0,0,34.204,10.045,13.243,1.1912,102.98293
-22.97941245,-43.22971578,53,15.40091419,37.59908581,223.8833382,227.01859,3500,11.259,8.7254,14.086,0,0,0,0,0,0,34.2,10.035,13.322,1.2346,100.68193
-22.97939431,-43.22966859,53,15.39024353,37.60975647,228.8313278,231.90143,3500,10.771,9.3821,13.958,0,0,0,0,0,0,34.195,9.8933,13.397,1.2743,103.92393
-22.97937558,-43.22961737,53,15.4032011,37.5967989,234.2066912,237.20517,3500,10.18,9.5245,13.841,0,0,0,1,1.01283,1,34.202,9.8244,13.523,1.3042,103.58593
-22.97935935,-43.22957299,53,15.39939022,37.60060978,238.8752524,241.81644,3500,9.9132,9.9132,13.739,0,0,0,0,0,0,34.2,9.661,13.54,1.3293,103.22693
-22.9793425,-43.2295269,53,15.3728714,37.6271286,243.7325208,246.61984,3500,9.5287,9.8279,13.647,0,0,0,0,0,0,34.186,9.6937,13.539,1.3475,103.01093
-22.97932117,-43.2294807,53,15.33838367,37.66161633,248.6557564,251.49171,3500,9.9247,9.7781,13.546,0,0,0,0,0,0,34.169,9.4477,13.435,1.3676,109.68893
-22.97929748,-43.22942937,53,15.28104305,37.71895695,254.1433459,256.92715,3500,9.4529,10.091,13.433,0,0,0,0,0,0,34.141,9.3189,13.308,1.3863,99.089928
-22.97927615,-43.22938317,53,15.18341255,37.81658745,259.0968467,261.84207,3500,9.4692,9.6087,13.343,0,0,0,0,0,0,34.092,9.203,13.234,1.3992,100.47593
-22.97925482,-43.22933697,53,15.10000038,37.89999962,264.0634346,266.76938,3500,9.7585,9.2689,13.258,0,0,0,0,0,0,34.05,9.0687,13.037,1.412,95.50293
-22.97923349,-43.22929077,53,14.98435974,38.01564026,269.0423849,271.7149,3500,9.8222,9.0111,13.176,0,0,0,0,0,0,33.992,9.0125,12.902,1.4231,102.06693
-22.97930002,-43.22923665,53,15.05355453,37.94644547,273.7494331,276.36694,3500,9.9982,8.9954,13.378,0,0,0,0,0,0,34.027,9.0253,13.162,1.4074,97.892929
-22.97928384,-43.22919127,53,14.9606638,38.0393362,278.5465859,281.13199,3500,9.6864,8.9453,13.305,0,0,0,0,0,0,33.98,9.0518,13.079,1.4198,102.90192
-22.97926766,-43.22914589,53,14.8927927,38.1072073,283.3501216,285.90112,3500,9.662,8.9357,13.234,0,0,0,0,0,0,33.946,8.9325,12.972,1.4299,95.825928
-22.97925148,-43.22910051,53,14.79909897,38.20090103,288.159721,290.68082,3500,9.7803,8.7067,13.168,0,0,0,0,0,0,33.9,8.8209,12.89,1.4393,99.097931
-22.9792326,-43.22904756,53,14.69999981,38.30000019,293.7781868,296.26425,3500,9.5748,8.602,13.092,0,0,0,0,0,0,33.85,8.8121,12.724,1.4522,94.880928
-22.97921642,-43.22900218,53,14.64054012,38.35945988,298.599925,301.05377,3500,9.3211,8.6237,13.028,0,0,0,0,0,0,33.82,8.7868,12.545,1.4625,89.34993
-22.97919754,-43.22894924,53,14.54324341,38.45675659,304.2318175,306.65277,3500,9.2443,8.6328,12.961,0,0,0,0,0,0,33.772,8.8528,12.334,1.4745,100.74792
