Lat,Long,h_tx_asl,h_rx_asl,delta_h_tx_rx,d_2d,d_3d,freq,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,building_depth_2d,building_depth_3d,n_building,vegetation_depth_2d,vegetation_depth_3d,n_vegetation,avg_diffracted_comp,std_building,std_vegetation,std_ground,pl
-22.98860443,-43.22770397,71,11.70395565,59.29604435,149.2301064,160.57909,3500,14.332,9.1683,17.816,0,0,0,0,0,0,41.352,14.588,18.966,13.165,78.781181
-22.98859082,-43.22767694,71,11.70945072,59.29054928,152.3753886,163.50421,3500,14.082,9.0703,17.617,0,0,0,0,0,0,41.355,14.585,18.808,13.108,84.045181
-22.98857551,-43.22764652,71,11.70571423,59.29428577,155.9142709,166.80849,3500,13.691,8.9728,17.366,0,0,0,0,0,0,41.353,14.613,18.557,13.025,81.976181
-22.98856106,-43.22761779,71,11.72593403,59.27406597,159.2569492,169.92996,3500,13.848,8.7484,17.149,0,0,0,0,0,0,41.363,14.35,18.375,12.939,85.306175
-22.98863703,-43.22758826,71,11.53736305,59.46263695,158.7496497,169.52066,3500,14.017,8.3381,17.722,0,0,0,0,0,0,41.269,14.833,18.556,13.13,87.832176
-22.98862453,-43.22756003,71,11.55450535,59.44549465,161.9467869,172.51241,3500,13.986,8.054,17.524,0,0,0,0,0,0,41.277,14.729,18.395,13.07,84.689178
-22.98861083,-43.22752919,71,11.55076885,59.44923115,165.442469,175.79938,3500,13.974,7.8976,17.318,0,0,0,0,0,0,41.275,14.548,18.194,13.001,82.223183
-22.98858599,-43.22749551,71,11.57098866,59.42901134,169.666905,179.77393,3500,13.549,8.4647,16.995,0,0,0,0,0,0,41.285,13.702,18.481,12.862,83.596176
-22.98854178,-43.22746334,71,11.64461517,59.35538483,174.5899892,184.4037,3500,13.233,8.3643,16.619,0,0,0,0,0,0,41.322,13.822,17.921,12.733,82.370178
-22.98853508,-43.22742171,71,11.61384583,59.38615417,178.8054576,188.40941,3500,12.844,8.3282,16.431,0,0,0,0,0,0,41.307,13.534,18.062,12.644,82.99218
-22.98851916,-43.22738422,71,11.62483501,59.37516499,183.028782,192.41867,3500,12.601,8.2065,16.254,0,0,0,0,0,0,41.312,13.451,17.869,12.562,86.817177
-22.98850325,-43.22734674,71,11.64505482,59.35494518,187.2522258,196.43423,3500,12.426,8.0439,16.06,0,0,0,0,0,0,41.323,13.376,17.683,12.484,83.136177
-22.98848733,-43.22730925,71,11.63516521,59.36483479,191.475781,200.46736,3500,12.496,7.5612,15.886,0,0,0,0,0,0,41.318,13.488,17.27,12.391,83.565178
-22.9884661,-43.22725926,71,11.27336311,59.72663689,197.1073491,205.9577,3500,12.145,7.4116,15.652,0,0,0,0,0,0,41.137,13.42,17.072,12.277,86.038177
-22.98845018,-43.22722178,71,10.83661842,60.16338158,201.3311375,210.1282,3500,12.175,7.2401,15.475,0,0,0,0,0,0,40.918,13.276,16.915,12.205,83.907181
-22.98843427,-43.22718429,71,10.39987278,60.60012722,205.5550157,214.30174,3500,11.987,7.1056,15.306,0,0,0,0,0,0,40.7,13.194,16.78,12.141,81.940178
-22.98841304,-43.22713431,71,9.963127136,61.03687286,211.1869836,219.83049,3500,11.879,6.8325,15.073,0,0,0,0,0,0,40.482,13.073,16.581,12.053,82.215179
-22.98839182,-43.22708432,71,9.663891792,61.33610821,216.81909,225.32785,3500,11.395,6.8721,14.824,0,0,0,0,0,0,40.332,13.019,16.473,11.969,83.752182
-22.9883759,-43.22704683,71,9.638231277,61.36176872,221.0432542,229.40224,3500,11.44,6.7793,14.674,0,0,0,0,0,0,40.319,12.515,16.584,11.922,83.11718
-22.98835468,-43.22699685,71,9.677333832,61.32266617,226.6755782,234.82396,3500,11.254,6.7258,14.437,0,0,0,0,0,0,40.339,12.334,16.432,11.812,83.442177
-22.98833876,-43.22695936,71,9.742872238,61.25712776,230.8998952,238.88741,3500,11.092,6.6797,14.288,0,0,0,0,0,0,40.371,12.292,16.317,11.759,83.504181
-22.98831753,-43.22690938,71,9.924564362,61.07543564,236.5324101,244.29037,3500,11.246,6.4821,14.101,0,0,0,0,0,0,40.462,12.041,16.133,11.673,87.840179
-22.98829631,-43.22685939,71,10.11006546,60.88993454,242.1650236,249.70279,3500,10.972,6.3827,13.919,0,0,0,0,0,0,40.555,12.022,15.964,11.589,88.861176
-22.98828039,-43.22682191,71,10.28413963,60.71586037,246.3895446,253.76016,3500,11.011,6.2308,13.8,0,0,0,0,0,0,40.642,11.883,15.867,11.529,88.529182
-22.98825917,-43.22677192,71,10.46964073,60.53035927,252.0223151,259.18945,3500,10.792,6.1571,13.643,0,0,0,0,0,0,40.735,11.854,15.71,11.441,88.729179
-22.98824325,-43.22673443,71,10.63228607,60.36771393,256.246947,263.26178,3500,10.781,6.0438,13.539,0,0,0,0,0,0,40.816,11.724,15.598,11.379,89.466179
-22.98822202,-43.22668445,71,10.82540703,60.17459297,261.8798571,268.70438,3500,10.94,5.8101,13.402,0,0,0,0,0,0,40.913,11.654,15.34,11.293,87.376183
-22.98820611,-43.22664696,71,10.92387199,60.07612801,266.1045878,272.80173,3500,10.611,5.8811,13.298,0,0,0,0,0,0,40.962,11.569,15.356,11.224,88.141182
-22.98819019,-43.22660947,71,11.09794521,59.90205479,270.3293577,276.88666,3500,10.754,5.6596,13.211,0,0,0,0,0,0,41.049,11.551,15.142,11.158,86.943176
-22.98817427,-43.22657199,71,11.27201843,59.72798157,274.5541648,280.97583,3500,10.769,5.5273,13.129,0,0,0,0,0,0,41.136,11.445,15.033,11.094,86.816177
-22.98815835,-43.2265345,71,11.36667442,59.63332558,278.7790076,285.08572,3500,10.812,5.4355,13.053,0,0,0,0,0,0,41.183,11.333,14.944,11.03,89.140182
-22.98814243,-43.22649701,71,11.54074764,59.45925236,283.0038844,289.18265,3500,10.56,5.4067,12.972,0,0,0,0,0,0,41.27,11.364,14.85,10.956,86.638176
-22.98812121,-43.22644703,71,11.70493221,59.29506779,288.6371039,294.6647,3500,10.626,5.2933,12.885,0,0,0,0,0,0,41.352,11.21,14.713,10.875,86.593178
-22.98810529,-43.22640954,71,11.62818909,59.37181091,292.8620546,298.81967,3500,10.703,5.1365,12.81,0,0,0,0,0,0,41.314,11.115,14.589,10.808,88.751183
-22.98808937,-43.22637205,71,11.41721535,59.58278465,297.0870347,303.00299,3500,10.554,5.1527,12.747,0,0,0,0,0,0,41.209,11.07,14.539,10.742,86.816177
-22.98807345,-43.22633456,71,11.18673515,59.81326485,301.312043,307.19144,3500,10.512,5.0091,12.671,0,0,0,0,0,0,41.093,11.043,14.415,10.677,88.930176
-22.98805754,-43.22629708,71,11.01787376,59.98212624,305.5370784,311.36917,3500,10.493,4.9779,12.604,0,0,0,0,0,0,41.009,10.977,14.333,10.623,88.854179
-22.98804162,-43.22625959,71,10.78739357,60.21260643,309.7621397,315.56003,3500,10.63,4.8702,12.536,0,0,0,0,0,0,40.894,10.827,14.203,10.567,86.598183
-22.9880257,-43.2262221,71,10.53809929,60.46190071,313.987226,319.75555,3500,10.549,4.7986,12.466,0,0,0,0,0,0,40.769,10.781,14.113,10.516,94.553177
-22.987947,-43.22618344,71,10.42050743,60.57949257,321.1807817,326.84396,3500,8.6995,4.9084,12.348,0,0,0,0,0,0,40.71,11.662,13.832,10.283,90.369179
-22.98792927,-43.22613611,71,10.19002819,60.80997181,326.4063344,332.02252,3500,9.4289,4.792,12.253,0,0,0,0,0,0,40.595,11.228,13.772,10.222,86.590179
-22.98791155,-43.22608878,71,9.879116058,61.12088394,331.6320556,337.21741,3500,9.8434,4.5745,12.165,0,0,0,0,0,0,40.44,10.963,13.645,10.184,88.015182
-22.98789382,-43.22604144,71,9.670099258,61.32990074,336.8579373,342.39542,3500,10.227,4.3791,12.073,0,0,0,0,0,0,40.335,10.697,13.541,10.135,88.32618
-22.98787314,-43.22598622,71,9.692982674,61.30701733,342.9549926,348.39157,3500,10.504,4.1552,11.968,0,0,0,0,0,0,40.346,10.64,13.284,10.082,90.197182
-22.98785245,-43.225931,71,9.677726746,61.32227325,349.0522456,354.39792,3500,10.542,4.0893,11.862,0,0,0,0,0,0,40.339,10.482,13.175,10.026,89.570175
-22.98783177,-43.22587578,71,9.681541443,61.31845856,355.1496863,360.4043,3500,10.605,4.04,11.769,0,0,0,1,1.01481,1,40.341,10.323,13.071,9.9727,93.851181
-22.98781109,-43.22582056,71,9.728918076,61.27108192,361.2473051,366.40656,3500,10.602,4.0753,11.672,0,0,0,1,1.0143,1,40.364,10.224,13.029,9.9207,91.638176
-22.98779041,-43.22576533,71,9.78127861,61.21872139,367.3450932,372.41129,3500,10.647,4.0428,11.579,1,1.01382,1,6,6.0829,1,31.927,10.1,12.936,9.8656,92.171181
-22.98776973,-43.22571011,71,9.826841354,61.17315865,373.4430424,378.42023,3500,10.662,3.9425,11.498,3,3.04008,2,3,3.04008,2,31.942,9.9724,12.873,9.8187,90.723183
-22.98774905,-43.22565489,71,9.893596649,61.10640335,379.541145,384.42874,3500,10.557,3.8263,11.415,4,4.05166,2,2,2.02583,2,31.965,9.9293,12.756,9.7639,89.546181
-22.98772541,-43.22559178,71,9.951206207,61.04879379,386.5105835,391.30219,3500,10.586,3.6841,11.32,3,3.03729,2,1,1.01243,1,31.984,9.8138,12.631,9.7003,88.871178
-22.98770778,-43.22553768,71,10.02768326,60.97231674,392.3642239,397.07343,3500,10.711,3.6431,11.242,0,0,0,0,0,0,40.514,9.4932,12.662,9.6511,92.055176
-22.9876902,-43.22548021,71,10.22905731,60.77094269,398.5319462,403.1387,3500,10.781,3.5294,11.158,0,0,0,0,0,0,40.615,9.3212,12.561,9.6016,88.93618
-22.98767164,-43.22541955,71,10.43579769,60.56420231,405.0433732,409.5463,3500,10.722,3.5523,11.081,0,0,0,0,0,0,40.718,9.2328,12.503,9.5456,91.354179
-22.98765308,-43.22535888,71,10.64253902,60.35746098,411.5558316,415.95819,3500,10.772,3.5188,11.007,0,0,0,0,0,0,40.821,9.0961,12.433,9.4957,90.401176
-22.9876355,-43.22530141,71,10.84928036,60.15071964,417.7264369,422.03494,3500,10.644,3.5371,10.95,0,0,0,0,0,0,40.925,9.1157,12.368,9.4613,93.568176
-22.98761959,-43.22524494,71,10.97173023,60.02826977,423.7290159,427.9599,3500,10.654,3.4658,10.895,0,0,0,0,0,0,40.986,9.0298,12.279,9.4245,100.07318
-22.98760676,-43.22518508,71,10.97229958,60.02770042,429.9130119,434.08353,3500,9.839,3.5343,10.828,0,0,0,0,0,0,40.986,9.4148,12.254,9.3841,93.65918
-22.98759394,-43.22512522,71,11.00360584,59.99639416,436.1000764,440.20773,3500,8.7185,3.4891,10.76,0,0,0,0,0,0,41.002,9.8507,12.228,9.3365,90.583176
-22.98758175,-43.22506835,71,11.00335121,59.99664879,441.9805125,446.03406,3500,9.2144,3.5198,10.699,0,0,0,0,0,0,41.002,9.4268,12.242,9.3002,93.038177
-22.9875702,-43.22501448,71,11.00521755,59.99478245,447.5538046,451.55707,3500,9.3856,3.4827,10.644,0,0,0,0,0,0,41.003,9.2922,12.173,9.2568,89.071182
-22.98755833,-43.2249578,71,11.00284195,59.99715805,453.407408,457.35974,3500,9.5308,3.25,10.602,0,0,0,0,0,0,41.001,9.4981,11.826,9.2474,91.587181
-22.98754964,-43.22490564,71,11.00438499,59.99561501,458.7003944,462.60733,3500,9.8273,3.2734,10.547,0,0,0,0,0,0,41.002,9.2524,11.805,9.2174,92.097176
-22.98753999,-43.22484768,71,10.86728668,60.13271332,464.5851025,468.46054,3500,9.9608,3.2102,10.489,0,0,0,0,0,0,40.934,8.9316,11.894,9.187,93.015182
-22.9875313,-43.22479552,71,10.75080776,60.24919224,469.8844767,473.73135,3500,10.118,3.2335,10.43,0,0,0,0,0,0,40.875,8.6407,11.939,9.1507,91.573181
-22.98752261,-43.22474335,71,10.64463806,60.35536194,475.1867196,479.00436,3500,10.246,3.1329,10.388,0,0,0,0,0,0,40.822,8.5741,11.822,9.1492,93.539177
-22.98751488,-43.22469699,71,10.56939507,60.43060493,479.9021559,483.69199,3500,10.218,3.0844,10.337,0,0,0,0,0,0,40.785,8.5158,11.773,9.1119,93.592178
-22.98750715,-43.22465062,71,10.4379406,60.5620594,484.6197197,488.38922,3500,10.175,3.0289,10.289,0,0,0,0,0,0,40.719,8.4316,11.709,9.0848,92.36718
-22.98750039,-43.22461005,71,10.42524719,60.57475281,488.7492849,492.48874,3500,10.147,2.9908,10.241,0,0,0,0,0,0,40.713,8.3858,11.693,9.0563,95.289177
-22.98749364,-43.22456947,71,10.41255283,60.58744717,492.8803921,496.5903,3500,10.046,2.9701,10.197,0,0,0,0,0,0,40.706,8.3976,11.658,9.0348,96.156181
-22.98748784,-43.2245347,71,10.36318779,60.63681221,496.4225394,500.11215,3500,10.145,2.8924,10.163,0,0,0,0,0,0,40.682,8.4683,11.522,9.025,93.507179
-22.98748205,-43.22449992,71,10.36530304,60.63469696,499.9657678,503.62915,3500,10.241,2.71,10.139,0,0,0,0,0,0,40.683,8.7799,11.179,9.0327,94.546181
-22.98747818,-43.22447674,71,10.34062004,60.65937996,502.3285094,505.97775,3500,10.11,2.7913,10.125,0,0,0,0,0,0,40.67,8.633,11.339,9.0355,91.661179
-22.98747529,-43.22445935,71,10.35260963,60.64739037,504.1008703,507.73596,3500,10.011,2.7832,10.102,0,0,0,0,0,0,40.676,8.6619,11.303,9.0243,94.220177
-22.98747239,-43.22444196,71,10.32792664,60.67207336,505.8734894,509.49887,3500,10.157,2.665,10.087,0,0,0,0,0,0,40.664,8.8007,11.101,9.019,94.445175
-22.98753473,-43.22444184,71,10.11244774,60.88755226,503.3609054,507.03009,3500,10.109,2.4335,9.9754,0,0,0,0,0,0,40.556,9.0894,10.835,9.1415,93.97818
-22.98753592,-43.22444891,71,10.10083008,60.89916992,502.6378719,506.31369,3500,10.068,2.4533,9.9835,0,0,0,0,0,0,40.55,9.1145,10.799,9.1457,93.29718
-22.98747336,-43.22444776,71,10.33779907,60.66220093,505.2825879,508.91098,3500,10.091,2.7628,10.092,0,0,0,0,0,0,40.669,8.6132,11.294,9.0179,96.316177
-22.9874666,-43.22440719,71,10.35643196,60.64356804,509.4194911,513.01642,3500,10.15,2.6206,10.047,0,0,0,0,0,0,40.678,8.75,11.053,8.9937,98.845177
-22.98746197,-43.2243789,71,10.42531109,60.57468891,512.3012005,515.86993,3500,10.019,2.6355,10.016,0,0,0,0,0,0,40.713,8.7996,11.008,8.976,93.75518
-22.98745703,-43.22434788,71,10.46597481,60.53402519,515.4562518,518.9986,3500,9.9971,2.6066,9.9844,0,0,0,0,0,0,40.733,8.7849,10.967,8.9591,92.387177
-22.98747023,-43.22430233,71,10.51327801,60.48672199,519.2653967,522.77643,3500,9.9062,2.4274,9.9184,0,0,0,0,0,0,40.757,8.9266,10.764,9.0038,92.20018
-22.987446,-43.22428157,71,10.59875488,60.40124512,522.2235084,525.70496,3500,9.7792,2.6018,9.9248,0,0,0,0,0,0,40.799,8.8038,10.906,8.9268,91.474182
-22.98743905,-43.22424257,71,10.68506241,60.31493759,526.2234851,529.66882,3500,9.7818,2.4625,9.8958,0,0,0,0,0,0,40.843,8.935,10.717,8.9159,93.179176
-22.98743168,-43.22420128,71,10.64050674,60.35949326,530.4598511,533.88287,3500,9.7985,2.3922,9.8661,0,0,0,0,0,0,40.82,8.8832,10.66,8.9156,92.82618
