Lat,Long,h_tx_asl,h_rx_asl,delta_h_tx_rx,d_2d,d_3d,freq,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,building_depth_2d,building_depth_3d,n_building,vegetation_depth_2d,vegetation_depth_3d,n_vegetation,avg_diffracted_comp,std_building,std_vegetation,std_ground,pl
-22.97746373,-43.22176142,53,9.5,43.5,1062.942839,1063.8325,750,6.1317,2.9459,8.5185,0,0,0,0,0,0,31.25,5.8944,7.6953,2.8087,86.841461
-22.97747521,-43.2218182,53,9.5,43.5,1056.991668,1057.8864,750,6.1445,2.9399,8.5331,0,0,0,0,0,0,31.25,5.906,7.7138,2.81,91.37146
-22.97748382,-43.22186079,53,9.5,43.5,1052.528291,1053.4268,750,6.1667,2.9202,8.5433,0,0,0,0,0,0,31.25,5.9514,7.6996,2.8108,90.224464
-22.97749242,-43.22190337,53,9.5,43.5,1048.064913,1048.9673,750,6.2126,2.9175,8.5537,0,0,0,0,0,0,31.25,5.9425,7.7148,2.8119,91.735466
-22.97750964,-43.22198854,53,9.5,43.5,1039.13816,1040.0482,750,6.2962,2.9298,8.5759,0,0,0,0,0,0,31.25,5.9239,7.7413,2.8139,90.95446
-22.97752686,-43.22207371,53,9.5,43.5,1030.211408,1031.1294,750,6.2997,2.9554,8.5984,0,0,0,0,0,0,31.25,5.9501,7.7701,2.8156,92.416466
-22.97753415,-43.22211028,53,9.5,43.5,1026.381244,1027.3026,750,6.3676,2.945,8.6082,0,0,0,0,0,0,31.25,5.9255,7.7798,2.8163,94.336464
-22.97753956,-43.2221389,53,9.5,43.5,1023.390216,1024.3143,750,6.3916,2.9478,8.6162,0,0,0,0,0,0,31.25,5.9215,7.7895,2.8166,91.203461
-22.97754305,-43.2221573,53,9.5,43.5,1021.467413,1022.3932,750,6.3483,2.9658,8.6213,0,0,0,0,0,0,31.25,5.9456,7.7951,2.817,92.052467
-22.97755001,-43.2221941,53,9.5,43.5,1017.62181,1018.5511,750,6.3934,2.9411,8.6314,0,0,0,0,0,0,31.25,5.9296,7.8095,2.8172,92.233467
-22.97756548,-43.22227588,53,9.5,43.5,1009.076039,1010.0132,750,6.5084,2.9634,8.6533,0,0,0,0,0,0,31.25,5.8958,7.8389,2.8184,92.956467
-22.97757484,-43.22232324,53,9.5,43.5,1004.11749,1005.0593,750,6.5502,2.9781,8.6666,0,0,0,0,0,0,31.25,5.885,7.8556,2.8189,93.842461
-22.97759493,-43.2224188,53,9.5,43.5,994.0830706,995.03436,750,6.5563,3.004,8.6933,0,0,0,0,0,0,31.25,5.9144,7.8904,2.8206,88.841461
-22.97764853,-43.22267361,53,9.5,43.5,967.3258515,968.30347,750,6.5945,3.0625,8.7677,0,0,0,0,0,0,31.25,5.9855,7.9792,2.8237,88.658463
-22.97770003,-43.22291842,53,9.5,43.5,941.618424,942.62268,750,6.5425,3.1507,8.8419,0,0,0,0,0,0,31.25,6.0983,8.075,2.8255,89.235466
-22.97773007,-43.22306123,53,9.5,43.5,926.6224437,927.64288,750,6.5879,3.1764,8.8877,0,0,0,0,0,0,31.25,6.1298,8.1168,2.8254,97.058464
-22.97773866,-43.22310203,53,9.5,43.5,922.3378805,923.3631,750,6.6035,3.1506,8.901,0,0,0,0,0,0,31.25,6.1299,8.1442,2.825,90.267464
-22.9778202,-43.22348965,53,9.334873199,43.6651268,881.634593,882.71521,750,6.6584,3.3067,9.0333,0,0,0,0,0,0,31.167,6.1979,8.3372,2.8207,91.291466
-22.97784166,-43.22359165,53,9.065235138,43.93476486,870.9232212,872.0307,750,6.694,3.3261,9.075,0,0,0,0,0,0,31.033,6.2219,8.3584,2.8126,90.701462
-22.97786742,-43.22371406,53,9.37365818,43.62634182,858.0695866,859.17792,750,6.7232,3.3603,9.1252,0,0,0,0,0,0,31.187,6.2532,8.4516,2.8029,100.93346
-22.97788029,-43.22377526,53,9.5,43.5,851.6427741,852.75299,750,6.7368,3.436,9.1492,0,0,0,0,0,0,31.25,6.2143,8.508,2.8005,92.553467
-22.97788887,-43.22381607,53,9.5,43.5,847.3582343,848.47406,750,6.7356,3.4192,9.1647,0,0,0,0,0,0,31.25,6.2882,8.4974,2.7982,90.950462
-22.97791463,-43.22393847,53,9.5,43.5,834.5046239,835.63757,750,6.7985,3.4853,9.2127,0,0,0,0,0,0,31.25,6.2519,8.5815,2.7929,85.938461
-22.97792321,-43.22397927,53,9.5,43.5,830.2200901,831.35889,750,6.8306,3.4618,9.2295,0,0,0,0,0,0,31.25,6.3096,8.5579,2.7906,90.754463
-22.97793179,-43.22402008,53,9.5,43.5,825.9355579,827.08032,750,6.8659,3.4909,9.2458,0,0,0,0,0,0,31.25,6.252,8.5942,2.7885,87.045464
-22.97793609,-43.22404048,53,9.5,43.5,823.7932924,824.94098,750,6.8732,3.507,9.2539,0,0,0,0,0,0,31.25,6.2547,8.6032,2.7874,85.157463
-22.97794467,-43.22408128,53,9.5,43.5,819.5087626,820.66248,750,6.9204,3.496,9.2716,0,0,0,0,0,0,31.25,6.2391,8.6352,2.7848,88.841461
-22.97795755,-43.22414248,53,9.5,43.5,813.0819709,814.24475,750,6.9518,3.4628,9.2967,0,0,0,0,0,0,31.25,6.3113,8.6446,2.7809,87.550461
-22.97796613,-43.22418328,53,9.5,43.5,808.7974452,809.96637,750,6.9762,3.4892,9.3142,0,0,0,0,0,0,31.25,6.2544,8.6634,2.7783,92.698463
-22.97798759,-43.22428529,53,9.5,43.5,798.0861382,799.27075,750,7.1176,3.4978,9.3581,0,0,0,0,0,0,31.25,6.2775,8.7117,2.77,89.840462
-22.97800046,-43.22434649,53,9.5,43.5,791.6593592,792.85358,750,7.1651,3.5641,9.385,0,0,0,0,0,0,31.25,6.21,8.7686,2.7658,90.989464
-22.9780646,-43.22455562,53,9.5,43.5,769.2220767,770.45111,750,8.0581,3.4208,9.4748,0,0,0,0,0,0,31.25,5.5915,8.8551,2.7607,88.709465
-22.9780621,-43.22464409,53,9.5,43.5,760.432905,761.67609,750,7.4632,3.6574,9.5242,0,0,0,0,0,0,31.25,6.1103,8.9227,2.7343,92.205467
-22.97807337,-43.22469951,53,9.5,43.5,754.6228099,755.87555,750,7.4917,3.6745,9.5508,0,0,0,0,0,0,31.25,6.1312,8.9274,2.7278,89.793465
-22.97808644,-43.22476196,53,9.5,43.5,748.0662621,749.32996,750,7.5294,3.7493,9.5819,0,0,0,0,0,0,31.25,6.1208,9.0077,2.7186,94.140465
-22.97810102,-43.22483098,53,9.5,43.5,740.8170731,742.09314,750,7.6495,3.7318,9.6163,0,0,0,0,0,0,31.25,6.0678,8.9999,2.7101,100.91347
-22.97810831,-43.22486549,53,9.5,43.5,737.1924812,738.47479,750,7.7324,3.7436,9.6341,0,0,0,0,0,0,31.25,6.0312,9.0679,2.7044,96.324463
-22.97812355,-43.22493765,53,9.5,43.5,729.6137946,730.90942,750,7.8086,3.7414,9.6714,0,0,0,0,0,0,31.25,6.0301,9.0609,2.694,88.275467
-22.97815,-43.2250654,53,9.619480133,43.38051987,716.2096279,717.52222,750,8.0098,3.8096,9.7391,0,0,0,0,0,0,31.31,5.9384,9.1588,2.6717,93.102463
-22.97815902,-43.225111,53,9.699999809,43.30000019,711.4348286,712.75128,750,7.9853,3.8473,9.7637,0,0,0,0,0,0,31.35,5.9851,9.1822,2.6645,83.791466
-22.97816805,-43.2251566,53,9.796104431,43.20389557,706.6600303,707.97949,750,8.0329,3.8533,9.7877,0,0,0,0,0,0,31.398,5.9861,9.182,2.6575,85.67646
-22.97820528,-43.2253447,53,10.15454483,42.84545517,686.9639966,688.29883,750,8.1659,3.897,9.8828,0,0,0,0,0,0,31.577,5.9763,9.2697,2.6338,84.405464
-22.97824139,-43.2255271,53,10.5,42.5,667.8648278,669.2157,750,8.3136,4.0318,9.9708,0,0,0,0,0,0,31.75,5.966,9.3773,2.618,88.192467
-22.97825042,-43.2255727,53,10.5,42.5,663.0900381,664.45062,750,8.3261,4.0862,9.9917,0,0,0,0,0,0,31.75,5.9846,9.4722,2.6147,82.905464
-22.97825688,-43.22561965,53,10.5,42.5,658.241071,659.61169,750,8.4124,4.03,10.016,0,0,0,0,0,0,31.75,6.0741,9.4452,2.6077,83.94046
-22.97828202,-43.22586347,53,10.5,42.5,633.270113,634.69464,750,8.2043,4.4397,10.152,0,0,0,0,0,0,31.75,6.0622,9.6602,2.5545,82.573463
-22.97828767,-43.2259182,53,10.5,42.5,627.6659743,629.10321,750,8.1397,4.4678,10.184,0,0,0,0,0,0,31.75,6.1342,9.633,2.5401,81.147461
-22.9782928,-43.22596796,53,10.5,42.5,622.5718365,624.02081,750,8.1124,4.5891,10.214,0,0,0,0,0,0,31.75,6.0136,9.7223,2.5265,86.736465
-22.97829793,-43.22601772,53,10.52439022,42.47560978,617.47822,618.93744,750,7.9806,4.718,10.244,0,0,0,0,0,0,31.762,6.1046,9.7478,2.5129,87.142464
-22.97830306,-43.22606747,53,10.63008118,42.36991882,612.3851378,613.84918,750,7.9192,4.9633,10.276,0,0,0,0,0,0,31.815,6.0693,9.8496,2.4988,84.321465
-22.97830969,-43.2261216,53,10.72764206,42.27235794,606.8193145,608.28992,750,7.9044,5.0371,10.308,0,0,0,0,0,0,31.864,6.0849,9.8567,2.4852,81.77346
-22.97831602,-43.22617663,53,10.70476437,42.29523563,601.1710211,602.65698,750,7.7355,5.3094,10.341,0,0,0,0,0,0,31.852,6.129,9.9962,2.4714,80.269463
-22.97832225,-43.22623347,53,10.55584526,42.44415474,595.3462786,596.85736,750,7.6569,5.4572,10.378,0,0,0,0,0,0,31.778,6.1818,10.036,2.4544,81.554466
-22.97832828,-43.22628847,53,10.33207512,42.66792488,589.7100821,591.25165,750,7.6305,5.5364,10.414,0,0,0,0,0,0,31.666,6.243,10.063,2.4347,79.388466
-22.97833562,-43.22634364,53,10.11976051,42.88023949,584.0243432,585.59644,750,7.5752,5.5714,10.453,0,0,0,0,0,0,31.56,6.2892,10.067,2.4136,79.438461
-22.978362,-43.226509,53,9.683031082,43.31696892,566.8731227,568.5257,750,7.1817,5.9771,10.585,0,0,0,0,0,0,31.342,6.4502,10.181,2.3264,81.853462
-22.97837106,-43.22656585,53,9.933494568,43.06650543,560.9778116,562.62854,750,7.2308,6.0187,10.632,0,0,0,0,0,0,31.467,6.4612,10.187,2.2921,80.935463
-22.97839783,-43.2266784,53,10.37365723,42.62634277,549.0799974,550.73212,750,7.3709,6.0564,10.718,0,0,0,0,0,0,31.687,6.4802,10.263,2.2407,88.340462
-22.97841115,-43.22673308,53,10.57965851,42.42034149,543.2919287,544.9455,750,7.33,6.1664,10.757,0,0,0,0,0,0,31.79,6.5138,10.297,2.2206,83.477463
-22.97842558,-43.22679232,53,10.81381989,42.18618011,537.0215743,538.67603,750,7.4726,6.1668,10.797,0,0,0,0,0,0,31.907,6.5643,10.339,2.2007,85.470467
