Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
172,-43.225441,-22.972996,3,3.5,0.5,2540,5.5186,4.2674,6.8363,16.225,10.888,11.211,1.3852,42.889,4,214.19539,3,0,0,6.3217,15,20,7.4604,-71.922745,80.392745,0.022651734
868,-43.225513,-22.97331,3,3.5,0.5,2540,4.5977,5.1823,6.7003,14.539,10.507,11.405,1.3978,13.881,4,191.81697,3,0,0,5.9719,19,22.5,7.4579,-70.977989,79.447989,0.066017963
869,-43.225559,-22.973354,3,3.5,0.5,2540,4.8696,4.7567,6.7029,13.37,3.8602,10.062,1.3356,23.973,4,185.75316,7,0,0,6.0018,15,22,7.4579,-70.973183,79.443183,0.048206985
764,-43.226711,-22.97337,3,3.5,0.5,2540,4.9826,8.0058,7.1557,13.958,3.7894,9.9715,1.3444,33.053,1,85.571991,7,0,0,7,15,21,7.4802,-71.682137,80.152137,0.054291904
217,-43.225613,-22.973412,3,3.5,0.5,2540,4.6955,5.1285,6.7027,10.911,3.7894,9.9715,1.3444,33.384,2,178.58604,7,0,0,5.9982,15,21,7.4579,-71.191437,79.661437,0.01943152
435,-43.226852,-22.973438,3,3.5,0.5,2540,4.5634,9.7817,7.1813,14.614,3.8602,10.062,1.3356,0,2,70.580551,7,0,0,7,29,26,7.4802,-70.806343,79.276343,0.054220535
871,-43.225651,-22.973455,3,3.5,0.5,2540,5.0661,4.398,6.7027,14.012,3.8602,10.062,1.3356,25.671,3,173.34143,7,0,0,5.9938,14.5,19,7.4579,-71.158203,79.628203,0.048101787
219,-43.225655,-22.973459,3,3.5,0.5,2540,5.0694,4.3743,6.7028,12.186,3.8602,10.062,1.3356,24.859,4,172.76237,7,0,0,6.0141,14.5,19,7.4579,-71.836288,80.306288,0.047725871
434,-43.226906,-22.973471,3,3.5,0.5,2540,7.0538,8.2385,7.2028,21.132,3.9558,9.957,1.3278,0,3,64.663902,8,0,0,7,31,24.5,7.4802,-71.075455,79.545455,0.035455607
220,-43.2257,-22.973513,3,3.5,0.5,2540,5.3114,3.7665,6.7034,14.912,3.9382,9.8924,1.32,9.2381,5,166.44579,7,0,0,6.0111,17,21,7.4579,-70.566376,79.036376,0.058278073
872,-43.2257,-22.973513,3,3.5,0.5,2540,5.3114,3.7665,6.7034,14.912,4.1181,9.9358,1.3107,9.2381,5,166.44579,6,0,0,6.0111,17,21,7.4579,-70.843979,79.313979,0.47475675
550,-43.225723,-22.973541,3,3.5,0.5,2540,5.9954,2.9192,6.7037,13.046,3.9451,9.858,1.2944,9.2074,4,163.04362,7,0,0,6.0154,17,21.75,7.4579,-71.19294,79.66294,0.064762913
221,-43.22575,-22.97357,3,3.5,0.5,2540,6.1047,2.5859,6.7032,14.751,4.1385,10.071,1.2845,0,6,159.67448,5,0,0,6.0135,21,20.5,7.4579,-67.621208,76.091208,0.18218865
874,-43.22575,-22.97357,3,3.5,0.5,2540,6.1047,2.5859,6.7032,14.751,3.9625,9.9961,1.2584,0,6,159.67448,5,0,0,6.0135,21,20.5,7.4579,-70.892532,79.362532,0.082549863
552,-43.225777,-22.973598,3,3.5,0.5,2540,5.5653,2.9395,6.7048,12.626,3.9625,9.9961,1.2584,4.33,4,156.34048,5,0,0,6.0029,17,19.75,7.4579,-68.200867,76.670867,0.053493172
875,-43.225807,-22.973637,3,3.5,0.5,2540,5.4885,2.8503,6.7081,9.6594,3.773,9.77,1.2419,10.481,4,151.95384,5,0,0,6,13,17,7.4579,-64.429947,72.899947,0.057592414
553,-43.22583,-22.973661,3,3.5,0.5,2540,5.8067,2.43,6.7123,7.3423,3.8833,9.9103,1.2098,9.4859,3,149.24864,6,0,0,6,12,15,7.4579,-67.473434,75.943434,0.51563895
223,-43.225864,-22.9737,3,3.5,0.5,2540,5.9621,2.1103,6.7191,3.851,3.905,9.9286,1.1953,8.5268,1,144.9832,5,0,0,6,12,15,7.4554,-68.088791,76.558791,0.076746903
876,-43.225876,-22.973713,3,3.5,0.5,2540,5.8924,2.0503,6.7221,3.8369,3.929,9.9013,1.1746,7.4751,1,143.40479,5,0,0,6,12,13.5,7.4554,-60.957222,69.427222,0.07624492
224,-43.225922,-22.973766,3,3.5,0.5,2540,5.8605,1.8478,6.7336,0.72619,3.9566,9.9285,1.1555,0,1,137.72426,5,0,0,6,11.5,8,7.4554,-68.241241,76.711241,0.048103731
225,-43.225922,-22.973766,3,3.5,0.5,2540,5.8605,1.8478,6.7336,0.72619,4.1137,10.075,1.1431,0,1,137.72426,6,0,0,6,11.5,8,7.4554,-64.067818,72.537818,0.098721184
555,-43.225948,-22.973795,3,3.5,0.5,2540,5.7815,1.8296,6.7397,0,4.223,10.113,1.1278,0,0,134.70201,5,0,0,6,9.5,8,7.4554,-65.040665,73.510665,0.068099581
877,-43.225948,-22.973795,3,3.5,0.5,2540,5.7815,1.8296,6.7397,0,4.223,10.113,1.1278,0,0,134.70201,5,0,0,6,9.5,8,7.4554,-65.049629,73.519629,0.099957854
427,-43.226891,-22.973858,3,3.5,0.5,2540,8.7628,0,7.1799,9.2564,4.0151,10,1.1107,0,2,38.602844,4,0,0,7,14.5,0,7.4579,-71.09816,79.56816,0.15908918
878,-43.226009,-22.973885,3,3.5,0.5,2540,5.4492,2.7988,6.7562,0,4.0012,10.02,1.0955,13.983,0,127.33818,4,0,0,6.0126,9,15.5,7.4554,-66.957726,75.427726,0.058814455
752,-43.227005,-22.973925,3,3.5,0.5,2540,7.6635,0,7.2275,0,4.034,10.132,1.0707,0,0,25.712574,4,0,0,7,9,0,7.4554,-67.029701,75.499701,0.066275343
753,-43.227005,-22.973925,3,3.5,0.5,2540,7.6635,0,7.2275,0,3.9354,10.07,1.0663,0,0,25.712574,4,0,0,7,9,0,7.4554,-71.253578,79.723578,0.025823485
557,-43.226036,-22.97393,3,3.5,0.5,2540,5.624,2.716,6.7656,0,4.0955,10.219,1.0469,11.985,0,124.59602,4,0,0,6.0158,8,16.5,7.4554,-65.919762,74.389762,0.046076339
740,-43.227341,-22.97393,3,3.5,0.5,2540,4.8,0,7.5885,0,4.0828,10.161,1.0261,0,0,9.6689634,4,0,0,7.4554,8,0,7.7141,-46.964645,55.434645,0.19602884
