Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
3,-43.235542,-22.977669,3,3.5,0.5,2540,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-53.506561,61.976561,1.499016
4,-43.235542,-22.977669,3,3.5,0.5,2540,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-52.880344,61.350344,1.5424144
5,-43.235542,-22.977669,3,3.5,0.5,2540,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-52.757912,61.227912,1.2790449
6,-43.235542,-22.977669,3,3.5,0.5,2540,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-53.856491,62.326491,1.3727939
7,-43.235538,-22.977657,3,3.5,0.5,2540,54.414989,8.9045,14.936,17.582,9.5959,16.035,0.45455,1.9779,1,25.428,1,0,0,17.042,25.75,34,18.911,-53.533081,62.003081,1.2430009
8,-43.235538,-22.977657,3,3.5,0.5,2540,54.414989,8.9045,14.936,17.582,9.5959,16.035,0.45455,1.9779,1,25.428,1,0,0,17.042,25.75,34,18.911,-53.451927,61.921927,1.5409586
9,-43.235538,-22.977657,3,3.5,0.5,2540,54.414989,8.9045,14.936,17.582,9.5959,16.035,0.45455,1.9779,1,25.428,1,0,0,17.042,25.75,34,18.911,-53.7491,62.2191,1.2213534
10,-43.235561,-22.977634,3,3.5,0.5,2540,51.06963,8.5385,16.298,17.612,9.7991,15.99,0.44957,3.4764,1,25.27,1,0,0,17.057,25.75,34,18.911,-54.640381,63.110381,1.4104099
11,-43.235561,-22.977636,3,3.5,0.5,2540,51.066368,8.5625,16.298,17.61,9.8436,15.99,0.45067,3.5366,1,25.296,1,0,0,17.051,27,34,18.911,-53.828026,62.298026,0.90917653
12,-43.235561,-22.977636,3,3.5,0.5,2540,51.063366,8.5625,16.308,17.61,9.8436,15.997,0.45103,3.5364,1,25.294,1,0,0,17.051,27,34,18.911,-52.57991,61.04991,0.21062671
13,-43.235565,-22.977636,3,3.5,0.5,2540,51.060364,8.5625,16.308,17.61,9.8436,15.997,0.45107,3.5362,1,25.293,1,0,0,17.051,27,34,18.911,-60.134525,68.604525,0.23848817
14,-43.235565,-22.977636,3,3.5,0.5,2540,51.060364,8.5625,16.308,17.61,9.8436,15.997,0.45107,3.5362,1,25.293,1,0,0,17.051,27,34,18.911,-61.617592,70.087592,0.21202917
15,-43.235561,-22.977636,3,3.5,0.5,2540,51.063366,8.5625,16.308,17.61,9.8436,15.997,0.45103,3.5364,1,25.294,1,0,0,17.051,27,34,18.911,-54.716576,63.186576,0.2072511
16,-43.235561,-22.977634,3,3.5,0.5,2540,51.07325,8.5385,16.298,17.612,9.7991,15.99,0.44896,3.4766,1,25.272,1,0,0,17.057,25.75,34,18.911,-53.852539,62.322539,0.6590153
17,-43.235558,-22.977633,3,3.5,0.5,2540,51.084808,8.7644,15.808,17.613,9.662,16.083,0.44794,1.9824,1,25.277,1,0,0,17.067,25.75,34,18.911,-52.048973,60.518973,1.2177564
18,-43.235554,-22.977631,3,3.5,0.5,2540,51.107647,9.1394,15.312,17.616,9.6976,16.162,0.44453,1.9828,1,24.387,1,0,0,17.069,25.75,34,18.911,-59.522366,67.992366,0.7036652
19,-43.235546,-22.977627,3,3.5,0.5,2540,51.167572,9.0144,15.019,17.615,9.5519,15.95,0.43365,1.2926,1,23.313,1,0,0,17.089,25.75,34,18.911,-60.451466,68.921466,0.22526214
20,-43.235527,-22.977625,3,3.5,0.5,2540,52.147141,8.3962,15.382,17.615,9.3954,15.567,0.4249,1.1031,1,24.172,1,0,0,17.104,25.5,33,18.911,-62.243042,70.713042,0.13114825
22,-43.235512,-22.977608,3,3.5,0.5,2540,51.70602,8.0577,14.606,17.638,9.6145,15.077,0.41213,2.1628,1,23.089,1,0,0,17.151,26,33,18.911,-68.764046,77.234046,0.044979658
116,-43.234188,-22.978708,3,3.5,0.5,2540,233.90431,19.475,6.3739,17.702,13.289,12.032,0.38115,109.79,8,16.609,2,0,0,17,43,40,18.911,-70.707611,79.177611,0.025956308
119,-43.234268,-22.978765,3,3.5,0.5,2540,232.57874,7.9174,19.263,17.837,10.469,16.015,0.47333,27.667,9,82.243,8,0,0,17,33,41,18.911,-72.548721,81.018721,0.026064336
120,-43.234295,-22.978785,3,3.5,0.5,2540,232.2151,6.4539,21.087,17.886,9.4254,15.795,0.51143,9.8378,5,98.103,9,0,0,17,34.5,40,18.911,-71.088722,79.558722,0.024290463
