Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
3,-43.235542,-22.977669,3,3.5,0.5,3500,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-48.938362,69.558362,1.6789508
4,-43.235542,-22.977669,3,3.5,0.5,3500,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-51.007729,71.627729,1.3781292
5,-43.235542,-22.977669,3,3.5,0.5,3500,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-49.737919,70.357919,1.5485781
6,-43.235542,-22.977669,3,3.5,0.5,3500,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-49.512344,70.132344,1.6360691
7,-43.235542,-22.977669,3,3.5,0.5,3500,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-50.145523,70.765523,1.7189417
8,-43.235542,-22.977669,3,3.5,0.5,3500,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-50.145523,70.765523,1.8151119
9,-43.235542,-22.977669,3,3.5,0.5,3500,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-48.060547,68.680547,1.6837803
10,-43.235542,-22.977669,3,3.5,0.5,3500,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-49.437206,70.057206,1.6835274
11,-43.235542,-22.977669,3,3.5,0.5,3500,55.210407,9.1652,15.259,17.565,9.7292,16.077,0.46041,3.5178,1,25.358,1,0,0,17.027,27,34,18.911,-49.029858,69.649858,1.5658525
12,-43.235538,-22.977657,3,3.5,0.5,3500,54.414989,8.9045,14.936,17.582,9.5959,16.035,0.45455,1.9779,1,25.428,1,0,0,17.042,25.75,34,18.911,-49.093163,69.713163,1.2250817
