Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
665,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-14.153415,27.883415,2.8517442
666,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-12.987921,26.717921,2.6621523
667,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-12.353374,26.083374,2.5496666
668,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-11.874589,25.604589,2.5374017
669,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-13.010849,26.740849,2.2975819
670,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-15.730069,29.460069,2.6670141
671,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-17.393871,31.123871,0.65689701
672,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-15.00549,28.73549,0.95788813
673,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-15.120989,28.850989,0.97138894
674,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-14.576609,28.306609,0.87475455
675,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-14.301464,28.031464,0.89955962
676,-43.23539,-22.977745,3,3.5,0.5,735,71.45948,7.2361,10.608,17.488,9.2344,14.441,0.4318,2.1223,1,22.404,1,0,0,17,26,33,18.911,-14.055124,27.785124,1.5803726
