Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
61,-43.226513,-22.973291,3,3.5,0.5,735,105.71014,4.6557,7.8208,7.1493,5.3694,8.7735,0.14953,15.894,1,39.725,2,0,0,7,15,21,7.4777,-46.220264,59.950264,0.084053308
189,-43.225548,-22.973343,3,3.5,0.5,735,187.36943,4.8697,4.8351,6.7024,4.4542,6.6296,0.38876,12.909,3,23.474,5,0,0,6.0025,15,22,7.4579,-46.09959,59.82959,0.030471325
524,-43.226784,-22.9734,3,3.5,0.5,735,78.398224,4.2468,9.2278,7.1658,5.8077,8.4873,0.16492,14.263,2,35.587,4,0,0,7,15,21,7.4802,-46.44709,60.17709,0.10971826
680,-43.225971,-22.973722,3,3.5,0.5,735,133.7229,6.125,1.9534,6.7766,3.4852,3.8496,0.36338,3.8522,1,5.2238,1,0,0,6.0588,12,14,7.4554,-40.328094,54.058094,0.024545683
506,-43.226891,-22.973804,3,3.5,0.5,735,40.84811,7.6707,2.0915,7.1863,4.9958,4.4482,0.16977,10.848,2,0.69494,1,0,0,7,15,14.5,7.4579,-37.047318,50.777318,0.047938902
37,-43.226891,-22.973816,3,3.5,0.5,735,40.263199,7.5976,1.7866,7.1863,4.9336,4.1434,0.16879,9.534,2,1.1097,1,0,0,7,15,14.5,7.4579,-39.366531,53.096531,0.20280026
685,-43.225986,-22.973837,3,3.5,0.5,735,130.27966,5.8779,1.771,6.7511,3.448,3.3341,0.38464,0,0,0,0,0,0,6.015,9,8,7.4554,-39.267227,52.997227,0
504,-43.226891,-22.973848,3,3.5,0.5,735,38.89753,8.7372,0.20513,7.1806,3.6639,1.281,0.16643,10.809,2,0,0,0,0,7,14.5,8,7.4579,-37.621605,51.351605,0.063148998
207,-43.225994,-22.973854,3,3.5,0.5,735,129.18787,5.4769,2.2115,6.7522,3.6857,3.7673,0.3854,0.20855,1,4.5413,1,0,0,6.0083,10,11.5,7.4554,-40.416176,54.146176,0.059520464
503,-43.226891,-22.973873,3,3.5,0.5,735,38.072723,8.4103,0,7.1776,2.6123,0,0.16255,7.2041,1,0,0,0,0,7,13,0,7.4579,-34.041569,47.771569,0
