image_id,Long_Rx,Lat_Rx,Decimal Hour Rx,Long_Tx,Lat_Tx,Decimal Hour Tx,Pw,PL,rms_delay_ns,mean_delay,rms_delay,d,dx,dy,relative speed,vx,vy
24.png,-43.31206644,-23.00726076,11.37013417,-43.31196551,-23.00754943,11.37004444,-44.59675588,61.59675588,143.644311,0.133032292,0.143644311,33.60128444,10.88477413,31.78943233,0.877386161,0.284219795,0.830075649
25.png,-43.312047,-23.007273,11.37037556,-43.31197343,-23.00757031,11.37034444,-45.13334428,62.13334428,177.327522,0.181203757,0.177327522,33.77812658,8.085648057,32.79609932,0.040518965,0.009699238,0.039340963
26.png,-43.31202256,-23.00729376,11.37061611,-43.31197871,-23.00758423,11.37054444,-45.33798152,62.33798152,159.287781,0.180493545,0.159287781,32.48043126,5.02615439,32.08919112,1.766647062,0.273378171,1.745367072
27.png,-43.3120096,-23.0073096,11.37086111,-43.31198905,-23.00760303,11.37084444,-44.08055005,61.08055005,127.210069,0.122112668,0.127210069,32.56386392,2.586400853,32.46098834,1.032392774,0.081998302,1.029131244
28.png,-43.31199632,-23.00733424,11.37110667,-43.31199601,-23.00761551,11.37104444,-44.99288759,61.99288759,129.907627,0.120357227,0.129907627,31.14901303,0.544364151,31.14425597,1.494103847,0.026111151,1.493875669
29.png,-43.311992,-23.0073514,11.37135222,-43.31200645,-23.00763423,11.37134444,-44.18624295,61.18624295,122.843829,0.12468722,0.122843829,31.35676895,1.993483702,31.29333766,0.381808508,0.024273197,0.381036151
30.png,-43.31198932,-23.00737732,11.37159722,-43.31201117,-23.0076454,11.37154444,-45.41715532,62.41715532,193.379829,0.263708746,0.193379829,29.77266639,2.751248625,29.64527442,1.555322352,0.143725067,1.548667402
31.png,-43.3119894,-23.0073938,11.37184222,-43.31201525,-23.0076562,11.37174444,-44.87878605,61.87878605,160.769153,0.236771386,0.160769153,29.1798416,3.160638714,29.00816297,0.558017223,0.060442098,0.554734147
32.png,-43.31199048,-23.00741756,11.37208778,-43.31202137,-23.0076724,11.37204444,-45.00525592,62.00525592,170.600899,0.247109485,0.170600899,28.39914189,3.676205076,28.16019844,0.733012227,0.094886785,0.726844841
33.png,-43.312002,-23.007474,11.37282389,-43.31203127,-23.00772148,11.37274444,-44.56476952,61.56476952,188.91407,0.280854595,0.18891407,27.5707292,3.510302037,27.34635054,0.644301756,0.082032425,0.63905824
