pl_target,pl_pred_gtb,pl_pred_ann,pl_pred_svr,pl_pred_rf
26.535277,45.00842057,31.73102268,83.77120158,43.44245763
26.082693,45.00842057,31.73102268,83.77120158,43.44245763
26.110136,45.00842057,31.73102268,83.77120158,43.44245763
26.250537,45.00842057,31.73102268,83.77120158,43.44245763
26.746696,45.00842057,31.73102268,83.77120158,43.44245763
26.984624,45.00842057,31.73102268,83.77120158,43.44245763
26.337411,45.00842057,31.73102268,83.77120158,43.44245763
26.591287,37.41927117,31.05777255,83.41503375,28.66996537
26.267527,37.41927117,31.05777255,83.41503375,28.66996537
26.578369,37.41927117,31.05777255,83.41503375,28.66996537
26.459959,37.41927117,31.05777255,83.41503375,28.66996537
26.795938,37.41927117,31.05777255,83.41503375,28.66996537
27.459834,37.41927117,31.05777255,83.41503375,28.66996537
29.228872,37.41927117,31.05777255,83.41503375,28.66996537
27.969628,37.41927117,31.05777255,83.41503375,28.66996537
30.417609,45.00842057,31.73102268,83.77120158,43.44245763
28.774246,45.00842057,31.73102268,83.77120158,43.44245763
32.772374,44.75757894,32.54328185,83.56511791,43.44245763
37.308596,37.11674362,36.75174842,82.90542286,28.66996537
35.221726,44.81909633,40.636173,83.46243123,43.44245763
28.028861,44.84943282,40.75348037,83.47786901,43.44245763
29.129845,44.84943282,40.75348037,83.47786901,43.44245763
28.182073,44.84943282,40.01260605,83.37451532,43.44245763
34.077002,44.84943282,40.01260605,83.37451532,43.44245763
34.814599,44.80991632,41.69875758,83.27583049,43.44245763
37.309096,44.80991632,42.32943102,82.92741892,43.44245763
36.03488,44.80991632,42.32943102,82.92741892,43.44245763
42.617974,44.80991632,42.32943102,82.92741892,43.44245763
45.466837,48.72202642,48.02185386,80.97107538,48.12013287
52.675232,48.03927398,47.02949859,81.68966091,48.12013287
54.597119,52.72719133,50.46001922,84.53984211,50.71415201
49.872117,51.54324362,51.23168136,86.20028325,50.71415201
51.680306,50.30182521,38.22460487,84.76970618,50.71415201
46.711113,48.38041322,30.77527595,90.5690151,50.71415201
48.485447,48.54195757,28.96744392,89.47107431,50.71415201
50.896763,48.39270897,37.02587846,91.83559237,50.71415201
49.987656,48.39270897,37.02587846,91.83559237,50.71415201
50.025235,48.39270897,25.51926397,84.65092857,50.71415201
48.527314,48.39270897,25.51926397,84.65092857,50.71415201
46.443928,48.54195757,18.52659242,82.0794166,50.71415201
45.478758,48.54195757,14.22875908,82.41914516,50.71415201
45.577492,48.39270897,25.05899842,89.35692034,50.71415201
46.669747,48.49599785,13.33884395,82.36698863,50.71415201
46.433171,48.49599785,13.33884395,82.36698863,50.71415201
45.116486,48.49599785,13.33884395,82.36698863,50.71415201
45.271273,48.49599785,13.33884395,82.36698863,50.71415201
44.133784,48.2960096,12.64397473,81.82477549,50.71415201
43.410187,48.49599785,26.58412883,93.91234395,50.71415201
43.402159,48.49599785,18.83062975,90.02174695,50.71415201
42.732281,48.2960096,5.235540907,78.26222861,50.71415201
44.43248,48.2960096,5.235540907,78.26222861,50.71415201
39.236027,48.2960096,15.45840771,90.22407824,50.71415201
41.296824,48.2960096,15.21293255,89.81071873,50.71415201
41.526316,48.16435301,21.13214275,93.37153415,50.71415201
38.522669,48.16435301,21.13214275,93.37153415,50.71415201
37.409916,48.16435301,22.52884712,95.62877841,50.71415201
39.142197,48.19350314,19.53436013,94.03798376,50.71415201
37.484988,48.19350314,19.61428244,95.3548486,50.71415201
38.8755,48.19350314,19.61428244,95.3548486,50.71415201
37.983525,48.19350314,21.20947605,97.4995808,50.71415201
38.943984,48.19350314,14.73905523,93.91874808,50.71415201
36.67878,48.12110105,17.82167576,97.12482931,50.71415201
37.75597,48.93581003,20.6917703,97.14621504,50.71415201
39.466937,38.86611932,16.09789151,96.2166661,31.26398451
38.362544,49.4489858,17.90443691,97.59318428,50.71415201
37.296328,46.90137505,13.95236308,96.0668561,50.71415201
39.314351,46.90137505,13.95236308,96.0668561,50.71415201
35.23054,36.53041846,15.97900491,97.04435772,31.26398451
34.712317,45.22829876,13.87831454,96.99205111,46.03647678
34.700034,47.77281345,13.72881825,96.65701107,50.71415201
33.561511,45.22829876,12.91717925,96.15924579,46.03647678
31.470715,45.27998467,11.934984,95.75807192,46.03647678
30.777674,45.22402374,12.11173964,95.40437387,46.03647678
31.311749,47.06693445,6.702849464,94.54937762,46.03647678
29.693964,47.06693445,6.702849464,94.54937762,46.03647678
28.003028,49.78809863,5.171800969,93.14871598,50.71415201
29.457324,49.78809863,5.640719268,92.83757499,50.71415201
28.861473,46.96586398,6.7062221,92.67683787,48.07446147
29.630749,51.04898077,11.351483,93.02705176,50.07500124
26.289325,51.01983064,14.22548507,92.32174578,50.07500124
26.786434,51.94115542,19.34189561,91.3627862,50.07500124
26.373822,51.94115542,19.34189561,91.3627862,50.07500124
25.447034,49.19857092,25.32172183,89.93780004,49.44208597
27.827773,51.73945863,28.15835883,89.72702549,49.44208597
27.318431,51.73945863,33.31875496,88.91658726,49.43341094
26.123644,37.70491387,33.62882397,86.46917565,28.66996537
27.541917,45.07179452,38.05937837,86.61461626,43.44245763
28.90174,37.48264512,35.71662823,84.74339664,28.66996537
27.095383,37.41927117,33.96009007,84.32018358,28.66996537
24.849774,37.41927117,32.53850374,85.33323991,28.66996537
26.300718,37.41927117,32.53850374,85.33323991,28.66996537
27.962062,37.41927117,31.83010969,84.00261433,28.66996537
27.539012,37.41927117,30.14415752,83.5973295,28.66996537
26.124941,37.62510187,29.66096104,83.39330561,28.66996537
28.380769,37.41927117,30.28688052,83.40888873,28.66996537
31.210757,37.41927117,31.05777255,83.41503375,28.66996537
28.898955,44.75757894,32.54328185,83.56511791,43.44245763
28.69619,44.75757894,32.54328185,83.56511791,43.44245763
32.196476,44.81909633,40.04528415,83.36111652,43.44245763
29.838753,44.84943282,40.75348037,83.47786901,43.44245763
31.777039,44.84943282,40.01260605,83.37451532,43.44245763
34.49524,44.80991632,41.69875758,83.27583049,43.44245763
43.50442,44.80991632,43.57262416,82.35117186,43.44245763
31.151873,44.80991632,43.57262416,82.35117186,43.44245763
38.966912,44.80991632,43.57262416,82.35117186,43.44245763
42.267098,44.80991632,43.57262416,82.35117186,43.44245763
48.539235,47.56281054,40.01197645,77.63870457,48.12013287
55.678235,48.64805214,45.56836966,81.43732729,48.12013287
50.898034,48.72202642,48.02185386,80.97107538,48.12013287
47.651204,48.79602143,48.58091954,81.61866249,48.12013287
52.173516,51.43120135,46.58979675,80.21234523,48.12013287
58.580533,52.72719133,50.46001922,84.53984211,50.71415201
51.473355,52.72719133,50.46001922,84.53984211,50.71415201
49.84665,51.54324362,51.23168136,86.20028325,50.71415201
47.457962,50.30182521,38.22460487,84.76970618,50.71415201
50.222813,48.40554496,35.79106859,86.05299523,50.71415201
48.013546,48.54195757,28.96744392,89.47107431,50.71415201
45.893963,48.41653853,25.32014606,84.07613902,50.71415201
45.068877,48.54195757,20.50430614,82.69040758,50.71415201
43.700074,48.54195757,14.22875908,82.41914516,50.71415201
45.511693,48.54195757,14.22875908,82.41914516,50.71415201
45.160412,48.54195757,9.222324579,77.54425752,50.71415201
43.300351,48.49599785,13.33884395,82.36698863,50.71415201
42.622843,48.49599785,26.58412883,93.91234395,50.71415201
42.899722,48.49599785,18.83062975,90.02174695,50.71415201
42.013632,48.2960096,11.90459479,84.81338686,50.71415201
42.158555,48.2960096,5.235540907,78.26222861,50.71415201
42.697089,48.19350314,5.864714875,78.27622126,50.71415201
40.780695,48.19350314,5.864714875,78.27622126,50.71415201
42.102902,48.16435301,25.80064653,96.366407,50.71415201
40.314179,48.2960096,15.21293255,89.81071873,50.71415201
37.703536,48.16435301,21.13214275,93.37153415,50.71415201
37.372687,48.16435301,22.52884712,95.62877841,50.71415201
36.56465,48.16435301,18.02222314,94.01291355,50.71415201
39.636948,48.19350314,21.52307763,97.04886777,50.71415201
38.725966,48.19350314,21.52307763,97.04886777,50.71415201
37.45629,48.19350314,15.94398935,93.64107372,50.71415201
37.15174,48.12110105,18.89341547,97.33264856,50.71415201
37.342108,48.19350314,17.71945576,96.15919075,50.71415201
38.062836,38.86611932,16.09789151,96.2166661,31.26398451
37.734978,49.4489858,17.90443691,97.59318428,50.71415201
37.484639,49.4489858,17.58337984,97.38975897,50.71415201
41.990286,49.4489858,17.58337984,97.38975897,50.71415201
35.50022,50.55771669,16.40445508,97.48309358,50.71415201
35.164948,37.63914935,15.96418736,96.99494838,31.26398451
33.088547,37.63914935,13.97200936,96.94216479,32.5522879
33.414166,47.77281345,14.23019021,96.97992726,50.71415201
33.137862,47.77281345,13.72881825,96.65701107,50.71415201
34.25249,45.22829876,12.68540713,96.00965138,46.03647678
32.515059,49.75027891,6.371708961,94.90328061,50.71415201
34.054883,49.75027891,6.371708961,94.90328061,50.71415201
31.644665,45.21808996,11.97075545,94.29534685,46.03647678
