Tx_ind,Tx,Rx,f,d,dx,dy,nw,PL
1,Tx1,Lab 4,27.5,3.5,2.7,2.22,0.25,103.5888172
1,Tx1,Lab 5,27.5,4,4,0.01,0.25,83.67333333
1,Tx1,Lab 7,27.5,4.83,4.35,2.1,0.25,98.39333333
1,Tx1,Lab 9,27.5,5.78,5.3,2.3,0.75,125.52
1,Tx1,Sala,27.5,11.57,2,11.4,0.75,113.1270833
2,Tx2,Lab 25,27.5,3.99,3.58,1.76,0.25,97.26833333
2,Tx2,Lab 26,27.5,5.21,4.27,2.98,0.25,108.9024762
2,Tx2,Lab 26a,27.5,8.43,7.55,3.74,0.75,123.829
2,Tx2,Lab 26a,27.5,8.43,7.55,3.74,0.75,132.5342424
2,Tx2,Lab 27,27.5,6.71,5.87,3.25,0.5,113.9688889
2,Tx2,Lobby,27.5,10.46,10.3,1.8,0.5,100.410303
3,Tx3,Lab 11b,27.5,12.48,12.3,2.09,0.75,133.3875269
3,Tx3,Lab 13,27.5,9.68,9.3,2.69,0.5,125.3612121
3,Tx3,Lab 16a,27.5,2.57,0,2.57,0.25,91.54104762
3,Tx3,Lab 16b,27.5,7.36,6.9,2.57,0.5,116.0215686
3,Tx3,Lab 17,27.5,5.95,5.3,2.7,0.25,101.2564583
3,Tx3,Lab 19,27.5,5.14,4.5,2.48,0.5,110.1092708
3,Tx3,Lab 21,27.5,3.8,2.68,2.7,0.5,95.98645833
3,Tx3,Pasillo_Dep,27.5,11.03,10.8,2.25,0.5,133.5974359
1,Tx1,Lab 7,27.5,4.83,4.35,2.1,0.25,96.37895833
4,Tx4,Sala 1b,27.5,4.42,3.5,2.7,0.25,96.20397849
4,Tx4,Sala 2,27.5,4.37,4.14,1.4,0.25,85.64494624
4,Tx4,Sala 3,27.5,7.02,6.17,3.35,0.5,109.7055914
4,Tx4,Sala 30a,27.5,7.91,7.5,2.5,0.75,134.1154955
4,Tx4,Sala 30b,27.5,5.37,4.89,2.21,0.75,127.7942708
4,Tx4,Sala 35,27.5,7.69,7.55,1.45,0.25,100.0611905
5,Tx5,Lab 10,27.5,3.35,2.17,2.55,0.25,100.1933333
5,Tx5,Lab 11b,27.5,9.98,9.9,1.28,0.75,112.7767708
5,Tx5,Lab 12,27.5,3.91,3.3,2.1,0.25,98.07020833
4,Tx4,Sala 2,27.5,4.37,4.14,1.4,0.5,122.4563636
5,Tx5,Lab 16b,27.5,6.39,4.01,4.97,0.25,99.50424242
5,Tx5,Lab 18,27.5,10.31,10.05,2.31,0.5,117.848
5,Tx5,Lab 8,27.5,6.93,6.6,2.1,0.75,132.3813333
6,Tx6,Lab 11a,27.5,12.5,12.5,0,0.75,123.0766667
1,Tx1,Lab 5,27.5,4,4,0.01,0.25,82.20333333
6,Tx6,Lab 9,27.5,8.9,8.9,0,0.75,134.34
1,Tx1,Copa,28,6.59,6.3,1.94,0.5,130.8137255
1,Tx1,Lab 1,28,11.76,11.6,1.93,0.5,119.7208974
1,Tx1,Lab 11a,28,9.04,8.9,1.6,0.75,127.3166667
1,Tx1,Lab 3,28,4.25,3.6,2.25,0.25,110.8560417
1,Tx1,Lab 4,28,3.5,2.7,2.22,0.25,98.20344086
1,Tx1,Lab 5,28,4,4,0.01,0.25,82.77666667
1,Tx1,Lab 7,28,4.83,4.35,2.1,0.25,99.58666667
1,Tx1,Lab 9,28,5.78,5.3,2.3,0.75,119.5166667
1,Tx1,Sala,28,11.57,2,11.4,0.75,111.6020513
2,Tx2,Lab 25,28,3.99,3.58,1.76,0.25,98.17885417
2,Tx2,Lab 26,28,5.21,4.27,2.98,0.25,98.82693694
2,Tx2,Lab 26a,28,8.43,7.55,3.74,0.75,124.0690909
2,Tx2,Lab 26a,28,8.43,7.55,3.74,0.75,131.9507292
2,Tx2,Lab 27,28,6.71,5.87,3.25,0.5,116.1812121
2,Tx2,Lobby,28,10.46,10.3,1.8,0.5,100.2612381
3,Tx3,Lab 11b,28,12.48,12.3,2.09,0.75,133.8895238
3,Tx3,Lab 13,28,9.68,9.3,2.69,0.5,120.2041026
3,Tx3,Lab 16a,28,2.57,0,2.57,0.25,94.25111111
3,Tx3,Lab 16b,28,7.36,6.9,2.57,0.5,121.7751961
3,Tx3,Lab 17,28,5.95,5.3,2.7,0.25,99.94931373
3,Tx3,Lab 19,28,5.14,4.5,2.48,0.5,105.2366667
3,Tx3,Lab 21,28,3.8,2.68,2.7,0.5,96.18151515
3,Tx3,Pasillo_Dep,28,11.03,10.8,2.25,0.5,117.3552778
1,Tx1,Lab 7,28,4.83,4.35,2.1,0.25,94.99130952
4,Tx4,Sala 1b,28,4.42,3.5,2.7,0.25,94.67460784
4,Tx4,Sala 2,28,4.37,4.14,1.4,0.25,85.28510417
4,Tx4,Sala 3,28,7.02,6.17,3.35,0.5,109.8360417
4,Tx4,Sala 30a,28,7.91,7.5,2.5,0.75,133.6179825
4,Tx4,Sala 30b,28,5.37,4.89,2.21,0.75,128.2351042
4,Tx4,Sala 35,28,7.69,7.55,1.45,0.25,103.2916667
5,Tx5,Lab 10,28,3.35,2.17,2.55,0.25,99.10380952
5,Tx5,Lab 11b,28,9.98,9.9,1.28,0.75,115.3472549
5,Tx5,Lab 12,28,3.91,3.3,2.1,0.25,96.08541667
4,Tx4,Sala 2,28,4.37,4.14,1.4,0.5,121.1646078
5,Tx5,Lab 16b,28,6.39,4.01,4.97,0.25,101.1293939
5,Tx5,Lab 18,28,10.31,10.05,2.31,0.5,121.8347917
5,Tx5,Lab 8,28,6.93,6.6,2.1,0.75,132.8166667
6,Tx6,Lab 11a,28,12.5,12.5,0,0.75,122.6566667
1,Tx1,Lab 5,28,4,4,0.01,0.25,78.05666667
6,Tx6,Lab 9,28,8.9,8.9,0,0.75,126.4833333
1,Tx1,Copa,28.5,6.59,6.3,1.94,0.5,117.7211765
1,Tx1,Lab 1,28.5,11.76,11.6,1.93,0.5,113.2603226
1,Tx1,Lab 11a,28.5,9.04,8.9,1.6,0.75,115.9966667
1,Tx1,Lab 3,28.5,4.25,3.6,2.25,0.25,108.5109677
1,Tx1,Lab 4,28.5,3.5,2.7,2.22,0.25,92.61354839
1,Tx1,Lab 5,28.5,4,4,0.01,0.25,76.55666667
1,Tx1,Lab 7,28.5,4.83,4.35,2.1,0.25,111.7533333
1,Tx1,Lab 9,28.5,5.78,5.3,2.3,0.75,120.6566667
1,Tx1,Sala,28.5,11.57,2,11.4,0.75,105.7634483
2,Tx2,Lab 25,28.5,3.99,3.58,1.76,0.25,89.2478125
2,Tx2,Lab 26,28.5,5.21,4.27,2.98,0.25,99.82
2,Tx2,Lab 26a,28.5,8.43,7.55,3.74,0.75,118.7141379
2,Tx2,Lab 26a,28.5,8.43,7.55,3.74,0.75,120.4854839
2,Tx2,Lab 27,28.5,6.71,5.87,3.25,0.5,102.2174286
2,Tx2,Lobby,28.5,10.46,10.3,1.8,0.5,91.84771429
3,Tx3,Lab 11b,28.5,12.48,12.3,2.09,0.75,125.3509091
