Tx_ind,Tx,Rx,f,d,dx,dy,nw,PL
1,Tx1,Lab 9,31,5.78,5.3,2.3,0.75,120.1166667
1,Tx1,Sala,31,11.57,2,11.4,0.75,118.2914815
2,Tx2,Lab 25,31,3.99,3.58,1.76,0.25,94.92939394
2,Tx2,Lab 26,31,5.21,4.27,2.98,0.25,100.0066667
2,Tx2,Lab 26a,31,8.43,7.55,3.74,0.75,127.9993333
2,Tx2,Lab 26a,31,8.43,7.55,3.74,0.75,129.9818421
2,Tx2,Lab 27,31,6.71,5.87,3.25,0.5,110.1215625
2,Tx2,Lobby,31,10.46,10.3,1.8,0.5,98.28909091
3,Tx3,Lab 11b,31,12.48,12.3,2.09,0.75,128.09
3,Tx3,Lab 13,31,9.68,9.3,2.69,0.5,108.311
3,Tx3,Lab 16a,31,2.57,0,2.57,0.25,82.67861111
3,Tx3,Lab 16b,31,7.36,6.9,2.57,0.5,114.6635294
3,Tx3,Lab 17,31,5.95,5.3,2.7,0.25,109.6313514
3,Tx3,Lab 19,31,5.14,4.5,2.48,0.5,113.5864516
3,Tx3,Lab 21,31,3.8,2.68,2.7,0.5,105.3833333
3,Tx3,Pasillo_Dep,31,11.03,10.8,2.25,0.5,129.3588235
1,Tx1,Lab 7,31,4.83,4.35,2.1,0.25,94.92875
4,Tx4,Sala 1b,31,4.42,3.5,2.7,0.25,94.73290323
4,Tx4,Sala 2,31,4.37,4.14,1.4,0.25,84.3625
4,Tx4,Sala 3,31,7.02,6.17,3.35,0.5,102.18625
4,Tx4,Sala 30a,31,7.91,7.5,2.5,0.75,129.2415625
4,Tx4,Sala 30b,31,5.37,4.89,2.21,0.75,127.3951613
4,Tx4,Sala 35,31,7.69,7.55,1.45,0.25,114.9030303
5,Tx5,Lab 10,31,3.35,2.17,2.55,0.25,118.6251515
5,Tx5,Lab 11b,31,9.98,9.9,1.28,0.75,105.3697059
5,Tx5,Lab 12,31,3.91,3.3,2.1,0.25,97.21757576
4,Tx4,Sala 2,31,4.37,4.14,1.4,0.5,122.6869697
5,Tx5,Lab 16b,31,6.39,4.01,4.97,0.25,112.1093939
5,Tx5,Lab 18,31,10.31,10.05,2.31,0.5,120.6593939
5,Tx5,Lab 8,31,6.93,6.6,2.1,0.75,129.4458824
6,Tx6,Lab 11a,31,12.5,12.5,0,0.75,128.54
1,Tx1,Lab 5,31,4,4,0.01,0.25,80.24333333
6,Tx6,Lab 9,31,8.9,8.9,0,0.75,131.58
1,Tx1,Copa,31.5,6.59,6.3,1.94,0.5,117.5230303
1,Tx1,Lab 1,31.5,11.76,11.6,1.93,0.5,123.4110753
1,Tx1,Lab 11a,31.5,9.04,8.9,1.6,0.75,126.7966667
1,Tx1,Lab 3,31.5,4.25,3.6,2.25,0.25,108.1654545
1,Tx1,Lab 4,31.5,3.5,2.7,2.22,0.25,106.595914
1,Tx1,Lab 5,31.5,4,4,0.01,0.25,103.3566667
1,Tx1,Lab 7,31.5,4.83,4.35,2.1,0.25,109.8733333
1,Tx1,Lab 9,31.5,5.78,5.3,2.3,0.75,129.8933333
1,Tx1,Sala,31.5,11.57,2,11.4,0.75,116.8868817
2,Tx2,Lab 25,31.5,3.99,3.58,1.76,0.25,118.3552083
2,Tx2,Lab 26,31.5,5.21,4.27,2.98,0.25,103.8595098
2,Tx2,Lab 26a,31.5,8.43,7.55,3.74,0.75,130.1826437
2,Tx2,Lab 26a,31.5,8.43,7.55,3.74,0.75,130.6575269
2,Tx2,Lab 27,31.5,6.71,5.87,3.25,0.5,116.4998958
2,Tx2,Lobby,31.5,10.46,10.3,1.8,0.5,103.2123958
3,Tx3,Lab 11b,31.5,12.48,12.3,2.09,0.75,132.4033333
3,Tx3,Lab 13,31.5,9.68,9.3,2.69,0.5,113.4221705
3,Tx3,Lab 16a,31.5,2.57,0,2.57,0.25,83.5909009
3,Tx3,Lab 16b,31.5,7.36,6.9,2.57,0.5,126.4742157
3,Tx3,Lab 17,31.5,5.95,5.3,2.7,0.25,106.48
3,Tx3,Lab 19,31.5,5.14,4.5,2.48,0.5,115.1381818
3,Tx3,Lab 21,31.5,3.8,2.68,2.7,0.5,111.7369048
3,Tx3,Pasillo_Dep,31.5,11.03,10.8,2.25,0.5,120.5907018
1,Tx1,Lab 7,31.5,4.83,4.35,2.1,0.25,99.10803922
4,Tx4,Sala 1b,31.5,4.42,3.5,2.7,0.25,98.87927083
4,Tx4,Sala 2,31.5,4.37,4.14,1.4,0.25,88.38833333
4,Tx4,Sala 3,31.5,7.02,6.17,3.35,0.5,103.2198851
4,Tx4,Sala 30a,31.5,7.91,7.5,2.5,0.75,130.7527083
4,Tx4,Sala 30b,31.5,5.37,4.89,2.21,0.75,133.3523656
4,Tx4,Sala 35,31.5,7.69,7.55,1.45,0.25,105.434
5,Tx5,Lab 10,31.5,3.35,2.17,2.55,0.25,105.4084848
5,Tx5,Lab 11b,31.5,9.98,9.9,1.28,0.75,107.4239394
5,Tx5,Lab 12,31.5,3.91,3.3,2.1,0.25,100.0377083
4,Tx4,Sala 2,31.5,4.37,4.14,1.4,0.5,124.4252083
5,Tx5,Lab 16b,31.5,6.39,4.01,4.97,0.25,111.3433333
5,Tx5,Lab 18,31.5,10.31,10.05,2.31,0.5,123.095914
5,Tx5,Lab 8,31.5,6.93,6.6,2.1,0.75,134.2092157
6,Tx6,Lab 11a,31.5,12.5,12.5,0,0.75,132.8533333
1,Tx1,Lab 5,31.5,4,4,0.01,0.25,82.47
6,Tx6,Lab 9,31.5,8.9,8.9,0,0.75,136.2866667
1,Tx1,Copa,32,6.59,6.3,1.94,0.5,125.0790196
1,Tx1,Lab 1,32,11.76,11.6,1.93,0.5,131.5591667
1,Tx1,Lab 11a,32,9.04,8.9,1.6,0.75,130.8433333
1,Tx1,Lab 3,32,4.25,3.6,2.25,0.25,111.8926042
1,Tx1,Lab 4,32,3.5,2.7,2.22,0.25,113.2757292
1,Tx1,Lab 5,32,4,4,0.01,0.25,107.45
1,Tx1,Lab 7,32,4.83,4.35,2.1,0.25,109.81
1,Tx1,Lab 9,32,5.78,5.3,2.3,0.75,122.3166667
1,Tx1,Sala,32,11.57,2,11.4,0.75,119.1010417
2,Tx2,Lab 25,32,3.99,3.58,1.76,0.25,121.1226042
2,Tx2,Lab 26,32,5.21,4.27,2.98,0.25,104.4454545
2,Tx2,Lab 26a,32,8.43,7.55,3.74,0.75,132.9954545
2,Tx2,Lab 26a,32,8.43,7.55,3.74,0.75,137.3166667
2,Tx2,Lab 27,32,6.71,5.87,3.25,0.5,121.0056989
2,Tx2,Lobby,32,10.46,10.3,1.8,0.5,105.1775758
3,Tx3,Lab 11b,32,12.48,12.3,2.09,0.75,134.2666667
3,Tx3,Lab 13,32,9.68,9.3,2.69,0.5,119.6969792
3,Tx3,Lab 16a,32,2.57,0,2.57,0.25,87.32666667
3,Tx3,Lab 16b,32,7.36,6.9,2.57,0.5,122.2766667
3,Tx3,Lab 17,32,5.95,5.3,2.7,0.25,117.2122549
3,Tx3,Lab 19,32,5.14,4.5,2.48,0.5,123.9490196
3,Tx3,Lab 21,32,3.8,2.68,2.7,0.5,119.2175238
3,Tx3,Pasillo_Dep,32,11.03,10.8,2.25,0.5,124.3540196
1,Tx1,Lab 7,32,4.83,4.35,2.1,0.25,100.8760417
4,Tx4,Sala 1b,32,4.42,3.5,2.7,0.25,100.6269792
4,Tx4,Sala 2,32,4.37,4.14,1.4,0.25,90.76133333
4,Tx4,Sala 3,32,7.02,6.17,3.35,0.5,110.7766667
4,Tx4,Sala 30a,32,7.91,7.5,2.5,0.75,134.7663725
4,Tx4,Sala 30b,32,5.37,4.89,2.21,0.75,136.647957
4,Tx4,Sala 35,32,7.69,7.55,1.45,0.25,110.9204902
5,Tx5,Lab 10,32,3.35,2.17,2.55,0.25,106.3924242
5,Tx5,Lab 11b,32,9.98,9.9,1.28,0.75,108.5204902
5,Tx5,Lab 12,32,3.91,3.3,2.1,0.25,100.6508046
4,Tx4,Sala 2,32,4.37,4.14,1.4,0.5,129.1407292
5,Tx5,Lab 16b,32,6.39,4.01,4.97,0.25,117.6340196
5,Tx5,Lab 18,32,10.31,10.05,2.31,0.5,127.5269892
5,Tx5,Lab 8,32,6.93,6.6,2.1,0.75,136.3423423
6,Tx6,Lab 11a,32,12.5,12.5,0,0.75,134.7166667
1,Tx1,Lab 5,32,4,4,0.01,0.25,82.95
6,Tx6,Lab 9,32,8.9,8.9,0,0.75,135.6
1,Tx1,Copa,32.5,6.59,6.3,1.94,0.5,125.0048485
1,Tx1,Lab 1,32.5,11.76,11.6,1.93,0.5,134.9027451
1,Tx1,Lab 11a,32.5,9.04,8.9,1.6,0.75,129.0933333
1,Tx1,Lab 3,32.5,4.25,3.6,2.25,0.25,115.4626882
1,Tx1,Lab 4,32.5,3.5,2.7,2.22,0.25,116.9244762
1,Tx1,Lab 5,32.5,4,4,0.01,0.25,96.17
1,Tx1,Lab 7,32.5,4.83,4.35,2.1,0.25,105.0233333
1,Tx1,Lab 9,32.5,5.78,5.3,2.3,0.75,121.2433333
1,Tx1,Sala,32.5,11.57,2,11.4,0.75,114.4275269
2,Tx2,Lab 25,32.5,3.99,3.58,1.76,0.25,114.5048958
2,Tx2,Lab 26,32.5,5.21,4.27,2.98,0.25,108.2665686
2,Tx2,Lab 26a,32.5,8.43,7.55,3.74,0.75,131.4721212
2,Tx2,Lab 26a,32.5,8.43,7.55,3.74,0.75,135.6783333
2,Tx2,Lab 27,32.5,6.71,5.87,3.25,0.5,122.7169697
2,Tx2,Lobby,32.5,10.46,10.3,1.8,0.5,109.8133333
3,Tx3,Lab 11b,32.5,12.48,12.3,2.09,0.75,133.2733333
3,Tx3,Lab 13,32.5,9.68,9.3,2.69,0.5,133.3509804
3,Tx3,Lab 16a,32.5,2.57,0,2.57,0.25,88.05480392
3,Tx3,Lab 16b,32.5,7.36,6.9,2.57,0.5,120.8479279
3,Tx3,Lab 17,32.5,5.95,5.3,2.7,0.25,108.332
3,Tx3,Lab 19,32.5,5.14,4.5,2.48,0.5,122.7075758
3,Tx3,Lab 21,32.5,3.8,2.68,2.7,0.5,107.0017708
3,Tx3,Pasillo_Dep,32.5,11.03,10.8,2.25,0.5,121.9233333
1,Tx1,Lab 7,32.5,4.83,4.35,2.1,0.25,101.4289216
4,Tx4,Sala 1b,32.5,4.42,3.5,2.7,0.25,101.5827273
4,Tx4,Sala 2,32.5,4.37,4.14,1.4,0.25,93.41397849
4,Tx4,Sala 3,32.5,7.02,6.17,3.35,0.5,107.1486667
4,Tx4,Sala 30a,32.5,7.91,7.5,2.5,0.75,134.9430303
4,Tx4,Sala 30b,32.5,5.37,4.89,2.21,0.75,133.8102083
4,Tx4,Sala 35,32.5,7.69,7.55,1.45,0.25,113.8765591
5,Tx5,Lab 10,32.5,3.35,2.17,2.55,0.25,121.6327451
5,Tx5,Lab 11b,32.5,9.98,9.9,1.28,0.75,115.0548958
5,Tx5,Lab 12,32.5,3.91,3.3,2.1,0.25,101.5710753
4,Tx4,Sala 2,32.5,4.37,4.14,1.4,0.5,125.2167708
5,Tx5,Lab 16b,32.5,6.39,4.01,4.97,0.25,115.5291398
5,Tx5,Lab 18,32.5,10.31,10.05,2.31,0.5,131.8913978
5,Tx5,Lab 8,32.5,6.93,6.6,2.1,0.75,135.4055208
6,Tx6,Lab 11a,32.5,12.5,12.5,0,0.75,133.7233333
1,Tx1,Lab 5,32.5,4,4,0.01,0.25,83.84666667
6,Tx6,Lab 9,32.5,8.9,8.9,0,0.75,133.2933333
1,Tx1,Copa,33,6.59,6.3,1.94,0.5,124.8659375
1,Tx1,Lab 1,33,11.76,11.6,1.93,0.5,137.08875
1,Tx1,Lab 11a,33,9.04,8.9,1.6,0.75,133.1266667
1,Tx1,Lab 3,33,4.25,3.6,2.25,0.25,113.1254545
1,Tx1,Lab 4,33,3.5,2.7,2.22,0.25,114.0741935
1,Tx1,Lab 5,33,4,4,0.01,0.25,96.08666667
1,Tx1,Lab 7,33,4.83,4.35,2.1,0.25,101.0666667
1,Tx1,Lab 9,33,5.78,5.3,2.3,0.75,129.2233333
1,Tx1,Sala,33,11.57,2,11.4,0.75,122.1521875
2,Tx2,Lab 25,33,3.99,3.58,1.76,0.25,110.324375
2,Tx2,Lab 26,33,5.21,4.27,2.98,0.25,104.2602857
2,Tx2,Lab 26a,33,8.43,7.55,3.74,0.75,137.2767742
2,Tx2,Lab 26a,33,8.43,7.55,3.74,0.75,137.0277778
2,Tx2,Lab 27,33,6.71,5.87,3.25,0.5,120.6126471
2,Tx2,Lobby,33,10.46,10.3,1.8,0.5,123.6308824
3,Tx3,Lab 11b,33,12.48,12.3,2.09,0.75,134.54
3,Tx3,Lab 13,33,9.68,9.3,2.69,0.5,121.3174194
3,Tx3,Lab 16a,33,2.57,0,2.57,0.25,91.04457143
3,Tx3,Lab 16b,33,7.36,6.9,2.57,0.5,119.9884211
3,Tx3,Lab 17,33,5.95,5.3,2.7,0.25,112.7584375
3,Tx3,Lab 19,33,5.14,4.5,2.48,0.5,114.5384444
3,Tx3,Lab 21,33,3.8,2.68,2.7,0.5,110.939697
3,Tx3,Pasillo_Dep,33,11.03,10.8,2.25,0.5,127.1288235
1,Tx1,Lab 7,33,4.83,4.35,2.1,0.25,102.3541935
4,Tx4,Sala 1b,33,4.42,3.5,2.7,0.25,102.4808824
4,Tx4,Sala 2,33,4.37,4.14,1.4,0.25,94.36636364
4,Tx4,Sala 3,33,7.02,6.17,3.35,0.5,103.4180645
4,Tx4,Sala 30a,33,7.91,7.5,2.5,0.75,136.9026471
4,Tx4,Sala 30b,33,5.37,4.89,2.21,0.75,137.0925
4,Tx4,Sala 35,33,7.69,7.55,1.45,0.25,116.0951613
5,Tx5,Lab 10,33,3.35,2.17,2.55,0.25,118.879697
5,Tx5,Lab 11b,33,9.98,9.9,1.28,0.75,109.2760606
5,Tx5,Lab 12,33,3.91,3.3,2.1,0.25,104.0153125
4,Tx4,Sala 2,33,4.37,4.14,1.4,0.5,125.0412903
5,Tx5,Lab 16b,33,6.39,4.01,4.97,0.25,115.3545161
5,Tx5,Lab 18,33,10.31,10.05,2.31,0.5,124.5709091
5,Tx5,Lab 8,33,6.93,6.6,2.1,0.75,137.0426471
6,Tx6,Lab 11a,33,12.5,12.5,0,0.75,134.99
1,Tx1,Lab 5,33,4,4,0.01,0.25,86.48666667
6,Tx6,Lab 9,33,8.9,8.9,0,0.75,133.2533333
1,Tx1,Copa,33.5,6.59,6.3,1.94,0.5,121.2981818
1,Tx1,Lab 1,33.5,11.76,11.6,1.93,0.5,129.7588889
1,Tx1,Lab 11a,33.5,9.04,8.9,1.6,0.75,130.9966667
1,Tx1,Lab 3,33.5,4.25,3.6,2.25,0.25,113.4955208
1,Tx1,Lab 4,33.5,3.5,2.7,2.22,0.25,115.8130108
1,Tx1,Lab 5,33.5,4,4,0.01,0.25,99.77
1,Tx1,Lab 7,33.5,4.83,4.35,2.1,0.25,103.79
1,Tx1,Lab 9,33.5,5.78,5.3,2.3,0.75,126.8333333
1,Tx1,Sala,33.5,11.57,2,11.4,0.75,113.4436559
2,Tx2,Lab 25,33.5,3.99,3.58,1.76,0.25,106.3814583
2,Tx2,Lab 26,33.5,5.21,4.27,2.98,0.25,104.5878788
2,Tx2,Lab 26a,33.5,8.43,7.55,3.74,0.75,134.2213978
2,Tx2,Lab 26a,33.5,8.43,7.55,3.74,0.75,137.3492593
2,Tx2,Lab 27,33.5,6.71,5.87,3.25,0.5,121.9303922
2,Tx2,Lobby,33.5,10.46,10.3,1.8,0.5,113.4162745
3,Tx3,Lab 11b,33.5,12.48,12.3,2.09,0.75,133.9233333
3,Tx3,Lab 13,33.5,9.68,9.3,2.69,0.5,124.3073958
3,Tx3,Lab 16a,33.5,2.57,0,2.57,0.25,97.79933333
3,Tx3,Lab 16b,33.5,7.36,6.9,2.57,0.5,119.3507018
3,Tx3,Lab 17,33.5,5.95,5.3,2.7,0.25,113.2815152
3,Tx3,Lab 19,33.5,5.14,4.5,2.48,0.5,110.2139394
3,Tx3,Lab 21,33.5,3.8,2.68,2.7,0.5,114.6625833
3,Tx3,Pasillo_Dep,33.5,11.03,10.8,2.25,0.5,125.0058333
1,Tx1,Lab 7,33.5,4.83,4.35,2.1,0.25,102.5827083
4,Tx4,Sala 1b,33.5,4.42,3.5,2.7,0.25,102.952451
4,Tx4,Sala 2,33.5,4.37,4.14,1.4,0.25,95.36980392
4,Tx4,Sala 3,33.5,7.02,6.17,3.35,0.5,105.4726882
4,Tx4,Sala 30a,33.5,7.91,7.5,2.5,0.75,136.0739216
4,Tx4,Sala 30b,33.5,5.37,4.89,2.21,0.75,134.6721569
4,Tx4,Sala 35,33.5,7.69,7.55,1.45,0.25,108.9027273
5,Tx5,Lab 10,33.5,3.35,2.17,2.55,0.25,108.4509091
5,Tx5,Lab 11b,33.5,9.98,9.9,1.28,0.75,113.2487879
5,Tx5,Lab 12,33.5,3.91,3.3,2.1,0.25,103.230098
4,Tx4,Sala 2,33.5,4.37,4.14,1.4,0.5,129.6561458
5,Tx5,Lab 16b,33.5,6.39,4.01,4.97,0.25,113.5051515
5,Tx5,Lab 18,33.5,10.31,10.05,2.31,0.5,121.745098
5,Tx5,Lab 8,33.5,6.93,6.6,2.1,0.75,135.7545098
6,Tx6,Lab 11a,33.5,12.5,12.5,0,0.75,134.3733333
1,Tx1,Lab 5,33.5,4,4,0.01,0.25,88.07333333
6,Tx6,Lab 9,33.5,8.9,8.9,0,0.75,132.9966667
1,Tx1,Copa,34,6.59,6.3,1.94,0.5,128.9630392
1,Tx1,Lab 1,34,11.76,11.6,1.93,0.5,131.3942708
1,Tx1,Lab 11a,34,9.04,8.9,1.6,0.75,130.0633333
1,Tx1,Lab 3,34,4.25,3.6,2.25,0.25,114.8439785
1,Tx1,Lab 4,34,3.5,2.7,2.22,0.25,119.1712121
1,Tx1,Lab 5,34,4,4,0.01,0.25,100.47
1,Tx1,Lab 7,34,4.83,4.35,2.1,0.25,103.72
1,Tx1,Lab 9,34,5.78,5.3,2.3,0.75,124.8633333
1,Tx1,Sala,34,11.57,2,11.4,0.75,133.1270833
2,Tx2,Lab 25,34,3.99,3.58,1.76,0.25,105.2595833
2,Tx2,Lab 26,34,5.21,4.27,2.98,0.25,107.8539216
2,Tx2,Lab 26a,34,8.43,7.55,3.74,0.75,137.1633333
2,Tx2,Lab 26a,34,8.43,7.55,3.74,0.75,136.0762366
2,Tx2,Lab 27,34,6.71,5.87,3.25,0.5,122.4058333
2,Tx2,Lobby,34,10.46,10.3,1.8,0.5,111.7205208
3,Tx3,Lab 11b,34,12.48,12.3,2.09,0.75,134.7233333
3,Tx3,Lab 13,34,9.68,9.3,2.69,0.5,118.6748958
3,Tx3,Lab 16a,34,2.57,0,2.57,0.25,96.72303922
3,Tx3,Lab 16b,34,7.36,6.9,2.57,0.5,127.6087619
3,Tx3,Lab 17,34,5.95,5.3,2.7,0.25,116.2412121
3,Tx3,Lab 19,34,5.14,4.5,2.48,0.5,119.4484946
3,Tx3,Lab 21,34,3.8,2.68,2.7,0.5,108.9678788
3,Tx3,Pasillo_Dep,34,11.03,10.8,2.25,0.5,130.1313889
1,Tx1,Lab 7,34,4.83,4.35,2.1,0.25,103.3395833
4,Tx4,Sala 1b,34,4.42,3.5,2.7,0.25,103.3572043
4,Tx4,Sala 2,34,4.37,4.14,1.4,0.25,94.45204301
4,Tx4,Sala 3,34,7.02,6.17,3.35,0.5,106.3726667
4,Tx4,Sala 30a,34,7.91,7.5,2.5,0.75,137.6477083
4,Tx4,Sala 30b,34,5.37,4.89,2.21,0.75,137.7820833
4,Tx4,Sala 35,34,7.69,7.55,1.45,0.25,118.3126667
5,Tx5,Lab 10,34,3.35,2.17,2.55,0.25,108.2405747
5,Tx5,Lab 11b,34,9.98,9.9,1.28,0.75,130.38
5,Tx5,Lab 12,34,3.91,3.3,2.1,0.25,102.2983333
4,Tx4,Sala 2,34,4.37,4.14,1.4,0.5,123.3172619
5,Tx5,Lab 16b,34,6.39,4.01,4.97,0.25,111.6133333
5,Tx5,Lab 18,34,10.31,10.05,2.31,0.5,123.7623958
5,Tx5,Lab 8,34,6.93,6.6,2.1,0.75,137.065098
6,Tx6,Lab 11a,34,12.5,12.5,0,0.75,135.1733333
1,Tx1,Lab 5,34,4,4,0.01,0.25,87.84333333
6,Tx6,Lab 9,34,8.9,8.9,0,0.75,133.8966667
1,Tx1,Copa,34.5,6.59,6.3,1.94,0.5,128.91125
1,Tx1,Lab 1,34.5,11.76,11.6,1.93,0.5,125.195
1,Tx1,Lab 11a,34.5,9.04,8.9,1.6,0.75,131.99
1,Tx1,Lab 3,34.5,4.25,3.6,2.25,0.25,123.2085294
1,Tx1,Lab 4,34.5,3.5,2.7,2.22,0.25,119.5641935
1,Tx1,Lab 5,34.5,4,4,0.01,0.25,98.41
1,Tx1,Lab 7,34.5,4.83,4.35,2.1,0.25,105.5266667
1,Tx1,Lab 9,34.5,5.78,5.3,2.3,0.75,118.5366667
1,Tx1,Sala,34.5,11.57,2,11.4,0.75,118.5778788
2,Tx2,Lab 25,34.5,3.99,3.58,1.76,0.25,111.8879412
2,Tx2,Lab 26,34.5,5.21,4.27,2.98,0.25,103.9568571
2,Tx2,Lab 26a,34.5,8.43,7.55,3.74,0.75,133.5130303
2,Tx2,Lab 26a,34.5,8.43,7.55,3.74,0.75,135.1135484
2,Tx2,Lab 27,34.5,6.71,5.87,3.25,0.5,136.0937143
2,Tx2,Lobby,34.5,10.46,10.3,1.8,0.5,113.745625
3,Tx3,Lab 11b,34.5,12.48,12.3,2.09,0.75,134.89
3,Tx3,Lab 13,34.5,9.68,9.3,2.69,0.5,118.058
3,Tx3,Lab 16a,34.5,2.57,0,2.57,0.25,94.68694444
3,Tx3,Lab 16b,34.5,7.36,6.9,2.57,0.5,127.228
3,Tx3,Lab 17,34.5,5.95,5.3,2.7,0.25,111.7748387
3,Tx3,Lab 19,34.5,5.14,4.5,2.48,0.5,119.026
3,Tx3,Lab 21,34.5,3.8,2.68,2.7,0.5,110.05
3,Tx3,Pasillo_Dep,34.5,11.03,10.8,2.25,0.5,120.3242857
1,Tx1,Lab 7,34.5,4.83,4.35,2.1,0.25,109.7175
4,Tx4,Sala 1b,34.5,4.42,3.5,2.7,0.25,109.6563636
4,Tx4,Sala 2,34.5,4.37,4.14,1.4,0.25,98.65
4,Tx4,Sala 3,34.5,7.02,6.17,3.35,0.5,112.9545455
4,Tx4,Sala 30a,34.5,7.91,7.5,2.5,0.75,136.9452778
4,Tx4,Sala 30b,34.5,5.37,4.89,2.21,0.75,136.8875
4,Tx4,Sala 35,34.5,7.69,7.55,1.45,0.25,114.2539394
5,Tx5,Lab 10,34.5,3.35,2.17,2.55,0.25,114.0251515
5,Tx5,Lab 11b,34.5,9.98,9.9,1.28,0.75,114.8943333
5,Tx5,Lab 12,34.5,3.91,3.3,2.1,0.25,103.9773529
4,Tx4,Sala 2,34.5,4.37,4.14,1.4,0.5,127.0713333
5,Tx5,Lab 16b,34.5,6.39,4.01,4.97,0.25,115.911875
5,Tx5,Lab 18,34.5,10.31,10.05,2.31,0.5,131.50875
5,Tx5,Lab 8,34.5,6.93,6.6,2.1,0.75,136.699697
6,Tx6,Lab 11a,34.5,12.5,12.5,0,0.75,135.34
1,Tx1,Lab 5,34.5,4,4,0.01,0.25,88.49
6,Tx6,Lab 9,34.5,8.9,8.9,0,0.75,130.76
1,Tx1,Copa,35,6.59,6.3,1.94,0.5,123.8329167
1,Tx1,Lab 1,35,11.76,11.6,1.93,0.5,129.5430769
1,Tx1,Lab 11a,35,9.04,8.9,1.6,0.75,125.5666667
1,Tx1,Lab 3,35,4.25,3.6,2.25,0.25,110.7572917
1,Tx1,Lab 4,35,3.5,2.7,2.22,0.25,110.5254545
1,Tx1,Lab 5,35,4,4,0.01,0.25,92.06666667
1,Tx1,Lab 7,35,4.83,4.35,2.1,0.25,103.4966667
1,Tx1,Lab 9,35,5.78,5.3,2.3,0.75,125.84
1,Tx1,Sala,35,11.57,2,11.4,0.75,111.7690909
2,Tx2,Lab 25,35,3.99,3.58,1.76,0.25,110.836381
2,Tx2,Lab 26,35,5.21,4.27,2.98,0.25,100.876381
2,Tx2,Lab 26a,35,8.43,7.55,3.74,0.75,129.9856989
2,Tx2,Lab 26a,35,8.43,7.55,3.74,0.75,130.4305797
2,Tx2,Lab 27,35,6.71,5.87,3.25,0.5,115.655
2,Tx2,Lobby,35,10.46,10.3,1.8,0.5,114.3112121
3,Tx3,Lab 11b,35,12.48,12.3,2.09,0.75,128.7366667
3,Tx3,Lab 13,35,9.68,9.3,2.69,0.5,111.1475758
3,Tx3,Lab 16a,35,2.57,0,2.57,0.25,89.55111111
3,Tx3,Lab 16b,35,7.36,6.9,2.57,0.5,118.4407843
3,Tx3,Lab 17,35,5.95,5.3,2.7,0.25,109.1169697
3,Tx3,Lab 19,35,5.14,4.5,2.48,0.5,110.4515447
3,Tx3,Lab 21,35,3.8,2.68,2.7,0.5,98.90276423
3,Tx3,Pasillo_Dep,35,11.03,10.8,2.25,0.5,121.2411667
1,Tx1,Lab 7,35,4.83,4.35,2.1,0.25,102.1169792
4,Tx4,Sala 1b,35,4.42,3.5,2.7,0.25,102.8487879
4,Tx4,Sala 2,35,4.37,4.14,1.4,0.25,89.71086022
4,Tx4,Sala 3,35,7.02,6.17,3.35,0.5,104.0976042
4,Tx4,Sala 30a,35,7.91,7.5,2.5,0.75,130.1413542
4,Tx4,Sala 30b,35,5.37,4.89,2.21,0.75,129.8629167
4,Tx4,Sala 35,35,7.69,7.55,1.45,0.25,110.3678431
5,Tx5,Lab 10,35,3.35,2.17,2.55,0.25,123.0637255
5,Tx5,Lab 11b,35,9.98,9.9,1.28,0.75,107.3889247
5,Tx5,Lab 12,35,3.91,3.3,2.1,0.25,102.1612381
4,Tx4,Sala 2,35,4.37,4.14,1.4,0.5,129.5629825
5,Tx5,Lab 16b,35,6.39,4.01,4.97,0.25,105.1633333
5,Tx5,Lab 18,35,10.31,10.05,2.31,0.5,123.4351042
5,Tx5,Lab 8,35,6.93,6.6,2.1,0.75,129.7248485
6,Tx6,Lab 11a,35,12.5,12.5,0,0.75,129.1866667
1,Tx1,Lab 5,35,4,4,0.01,0.25,84.46
6,Tx6,Lab 9,35,8.9,8.9,0,0.75,127.2433333
1,Tx1,Copa,35.5,6.59,6.3,1.94,0.5,122.3006061
1,Tx1,Lab 1,35.5,11.76,11.6,1.93,0.5,131.4760606
1,Tx1,Lab 11a,35.5,9.04,8.9,1.6,0.75,127.8766667
1,Tx1,Lab 3,35.5,4.25,3.6,2.25,0.25,117.6029412
1,Tx1,Lab 4,35.5,3.5,2.7,2.22,0.25,110.121875
1,Tx1,Lab 5,35.5,4,4,0.01,0.25,91.61
1,Tx1,Lab 7,35.5,4.83,4.35,2.1,0.25,110.4033333
1,Tx1,Lab 9,35.5,5.78,5.3,2.3,0.75,120.2
1,Tx1,Sala,35.5,11.57,2,11.4,0.75,113.8708108
2,Tx2,Lab 25,35.5,3.99,3.58,1.76,0.25,109.9877143
2,Tx2,Lab 26,35.5,5.21,4.27,2.98,0.25,106.3058824
2,Tx2,Lab 26a,35.5,8.43,7.55,3.74,0.75,131.5041935
2,Tx2,Lab 26a,35.5,8.43,7.55,3.74,0.75,131.5514815
2,Tx2,Lab 27,35.5,6.71,5.87,3.25,0.5,123.9025
2,Tx2,Lobby,35.5,10.46,10.3,1.8,0.5,111.8446875
3,Tx3,Lab 11b,35.5,12.48,12.3,2.09,0.75,129.63
3,Tx3,Lab 13,35.5,9.68,9.3,2.69,0.5,111.9045161
3,Tx3,Lab 16a,35.5,2.57,0,2.57,0.25,93.766
